ID	Population	Assigned
20ALPU056	Puyjalon	oui
20ALPU057	Puyjalon	non
20ALRO001	Romaine	oui
20ALRO002	Romaine	oui
20ALRO003	Puyjalon	oui
20ALRO004	Romaine	non
20ALRO005	Puyjalon	oui
20ALRO006	Romaine	non
20ALRO007	Romaine	non
20ALRO008	Romaine	oui
20ALRO009	Romaine	oui
20ALRO010	Romaine	non
20ALRO011	Romaine	non
20ALRO012	Puyjalon	oui
20ALRO013	Romaine	oui
20ALRO014	Romaine	oui
20ALRO015	Romaine	non
20ALRO016	Puyjalon	non
20ALRO017	Romaine	oui
20ALRO018	Romaine	oui
20ALRO019	Puyjalon	non
20ALRO020	Romaine	oui
20ALRO021	Romaine	non
20ALRO022	Romaine	oui
20ALRO023	Puyjalon	oui
20ALRO024	Romaine	oui
20ALRO025	Puyjalon	non
20ALRO026	Puyjalon	oui
20ALRO027	Romaine	oui
20ALRO028	Romaine	non
20ALRO029	Puyjalon	oui
20ALRO030	Puyjalon	non
20ALRO031	Romaine	oui
20ALRO032	Romaine	non
20ALRO033	Romaine	non
20ALRO034	Romaine	oui
20ALRO035	Puyjalon	non
20ALRO036	Romaine	oui
20ALRO037	Romaine	non
20ALRO038	Romaine	non
20ALRO039	Puyjalon	non
20ALRO040	Romaine	non
20ALRO041	Romaine	non
20ALRO042	Puyjalon	non
20ALRO043	Puyjalon	non
20ALRO044	Puyjalon	non
20ALRO045	Puyjalon	non
20ALRO046	Puyjalon	non
20ALRO047	Puyjalon	non
20ALRO048	Romaine	oui
20ALRO049	Puyjalon	non
20ALRO050	Romaine	non
20ALRO051	Romaine	non
20ALRO052	Puyjalon	non
20ALRO053	Romaine	non
20ALRO054	Puyjalon	non
20ALRO055	Romaine	non
20ALRO056	Romaine	non
20ALRO057	Romaine	non
20ALRO058	Romaine	non
20ALRO059	Puyjalon	non
20ALRO060	Romaine	non
20ALRO061	Romaine	non
20ALRO062	Puyjalon	non
20ALRO063	Puyjalon	non
20ALRO064	Puyjalon	non
20ALRO065	Romaine	non
20ALRO066	Puyjalon	non
20ALRO067	Romaine	non
20ALRO068	Puyjalon	non
20ALRO070	Romaine	non
20ALRO071	Puyjalon	non
20ALRO072	Romaine	non
20ALRO073	Romaine	non
20ALRO074	Puyjalon	non
20ALRO075	Romaine	non
20ALRO077	Romaine	non
20ALRO078	Romaine	non
20ALRO080	Romaine	oui
20ALRO081	Romaine	non
20ALRO082	Puyjalon	non
20ALRO083	Romaine	non
20ALRO084	Puyjalon	non
20ALRO085	Romaine	oui
20ALRO086	Romaine	non
20ALRO087	Puyjalon	non
20ALRO088	Puyjalon	non
20ALRO089	Puyjalon	non
20ALRO090	Puyjalon	non
20ALRO091	Puyjalon	non
20ALRO092	Puyjalon	non
20ALRO093	Romaine	non
20ALRO094	Puyjalon	non
20ALRO096	Puyjalon	non
20ALRO097	Romaine	oui
20ALRO098	Puyjalon	non
20ALRO099	Romaine	oui
20ALRO100	Puyjalon	non
20ALRO101	Puyjalon	non
20ALRO103	Romaine	non
20ALRO104	Puyjalon	non
20ALRO105	Romaine	oui
20ALRO106	Puyjalon	non
20ALRO107	Romaine	non
20ALRO108	Romaine	non
20ALRO109	Romaine	non
20ALRO110	Puyjalon	non
20ALRO111	Puyjalon	non
20ALRO112	Romaine	non
20ALRO113	Romaine	non
20ALRO114	Romaine	non
20ALRO115	Puyjalon	non
20ALRO116	Puyjalon	non
20ALRO117	Romaine	non
20ALRO118	Romaine	oui
20ALRO120	Romaine	non
20ALRO121	Romaine	oui
20ALRO122	Romaine	non
20ALRO123	Romaine	non
20ALRO124	Romaine	non
20ALRO125	Puyjalon	non
20ALRO126	Romaine	non
20ALRO127	Puyjalon	non
20ALRO128	Romaine	non
20ALRO129	Romaine	non
20ALRO130	Romaine	oui
20ALRO131	Romaine	non
20ALRO132	Puyjalon	non
20ALRO133	Romaine	oui
20ALRO134	Puyjalon	non
20ALRO135	Romaine	oui
20ALRO136	Romaine	non
20ALRO137	Romaine	oui
21ALPU001	Puyjalon	non
21ALPU002	Puyjalon	non
21ALPU003	Puyjalon	non
21ALPU004	Puyjalon	non
21ALPU005	Puyjalon	non
21ALPU006	Puyjalon	non
21ALPU007	Puyjalon	non
21ALPU008	Puyjalon	non
21ALPU009	Puyjalon	non
21ALPU010	Puyjalon	non
21ALPU011	Puyjalon	non
21ALPU012	Puyjalon	ouimixte
21ALPU013	Puyjalon	oui
21ALPU014	Puyjalon	ouimixte
21ALPU015	Puyjalon	non
21ALPU016	Puyjalon	non
21ALPU017	Puyjalon	non
21ALPU018	Puyjalon	non
21ALPU019	Puyjalon	nonexistant
21ALPU020	Puyjalon	oui
21ALPU021	Puyjalon	non
21ALPU022	Puyjalon	non
21ALPU023	Puyjalon	non
21ALPU024	Puyjalon	non
21ALRO001	Puyjalon	non
21ALRO002	Romaine	non
21ALRO003	Romaine	non
21ALRO004	Romaine	non
21ALRO005	Puyjalon	oui
21ALRO006	Romaine	oui
21ALRO007	Puyjalon	oui
21ALRO008	Puyjalon	oui
21ALRO009	Puyjalon	nonexistant
21ALRO010	Romaine	non
21ALRO011	Romaine	oui
21ALRO012	Romaine	non
21ALRO013	Romaine	oui
21ALRO014	Romaine	non
21ALRO015	Romaine	oui
21ALRO016	Romaine	non
21ALRO017	Romaine	non
21ALRO018	Romaine	oui
21ALRO019	Romaine	oui
21ALRO020	Romaine	oui
21ALRO021	Romaine	oui
21ALRO022	Romaine	non
21ALRO023	Romaine	oui
21ALRO024	Romaine	oui
21ALRO025	Puyjalon	oui
21ALRO026	Romaine	oui
21ALRO027	Romaine	non
21ALRO028	Romaine	non
21ALRO029	Romaine	oui
21ALRO030	Romaine	non
21ALRO031	Romaine	oui
21ALRO032	Romaine	non
21ALRO033	Puyjalon	oui
21ALRO034	Romaine	oui
21ALRO035	Romaine	oui
21ALRO036	Romaine	non
21ALRO037	Romaine	non
21ALRO038	Puyjalon	oui
21ALRO039	Romaine	non
21ALRO040	Romaine	non
21ALRO041	Romaine	non
21ALRO042	Romaine	non
21ALRO043	Puyjalon	oui
21ALRO044	Romaine	non
21ALRO045	Romaine	non
21ALRO046	Puyjalon	oui
21ALRO047	Romaine	non
21ALRO048	Romaine	oui
21ALRO049	Romaine	non
21ALRO050	Romaine	non
21ALRO051	Romaine	non
21ALRO053	Romaine	non
21ALRO054	Romaine	non
21ALRO055	Romaine	non
21ALRO056	Romaine	non
21ALRO057	Romaine	non
21ALRO058	Romaine	non
21ALRO059	Romaine	non
21ALRO060	Romaine	non
21ALRO061	Romaine	oui
21ALRO062	Romaine	oui
21ALRO063	Romaine	non
21ALRO064	Romaine	non
21ALRO065	Romaine	non
21ALRO066	Romaine	oui
21ALRO067	Romaine	non
21ALRO068	Romaine	non
21ALRO069	Romaine	non
21ALRO070	Romaine	non
21ALRO071	Romaine	non
21ALRO072	Romaine	non
21ALRO073	Romaine	non
21ALRO074	Romaine	non
21ALRO075	Romaine	non
21ALRO076	Romaine	non
21ALRO077	Romaine	non
21ALRO078	Romaine	non
21ALRO079	Romaine	non
21ALRO080	Romaine	non
21ALRO081	Romaine	non
21ALRO082	Romaine	non
21ALRO083	Romaine	non
21ALRO084	Romaine	non
21ALRO085	Romaine	non
21ALRO086	Romaine	oui
21ALRO088	Romaine	oui
21ALRO089	Romaine	non
21ALRO090	Romaine	non
21ALRO091	Romaine	non
21ALRO092	Romaine	non
21ALRO093	Romaine	non
21ALRO094	Romaine	non
21ALRO095	Romaine	non
21ALRO096	Romaine	non
21ALRO097	Romaine	non
21ALRO098	Romaine	non
21ALRO099	Romaine	non
21ALRO100	Romaine	non
21ALRO101	Romaine	non
21ALRO102	Romaine	non
21ALRO103	Romaine	non
21ALRO104	Romaine	non
21ALRO105	Romaine	non
21ALRO106	Romaine	non
21ALRO107	Romaine	non
21ALRO108	Romaine	non
21ALRO109	Romaine	non
21ALRO110	Romaine	non
21ALRO111	Romaine	non
21ALRO112	Romaine	non
21ALRO113	Romaine	non
21ALRO114	Romaine	non
21ALRO115	Romaine	non
21ALRO116	Romaine	non
21ALRO117	Romaine	non
21ALRO118	Romaine	non
21ALRO119	Romaine	non
21ALRO120	Romaine	non
21ALRO121	Romaine	oui
21ALRO122	Romaine	non
21ALRO123	Romaine	non
21ALRO124	Romaine	non
21ALRO125	Romaine	non
21ALRO126	Romaine	oui
21ALRO127	Romaine	non
21ALRO128	Romaine	non
21ALRO129	Romaine	non
21ALRO130	Romaine	non
21ALRO131	Romaine	non
21ALRO132	Romaine	oui
21ALRO133	Romaine	non
21ALRO134	Romaine	oui
21ALRO135	Romaine	oui
21ALRO136	Romaine	non
21ALRO137	Romaine	non
21ALRO138	Romaine	non
21ALRO139	Romaine	oui
21ALRO140	Romaine	non
21ALRO141	Romaine	oui
21ALRO142	Romaine	non
21ALRO143	Romaine	non
21ALRO144	Romaine	non
21ALRO145	Romaine	non
21ALRO146	Romaine	non
21ALRO147	Romaine	non
21ALRO148	Romaine	oui
21ALRO149	Romaine	non
21ALRO150	Romaine	non
21ALRO151	Romaine	oui
21ALRO152	Romaine	non
21ALRO153	Romaine	non
21ALRO154	Romaine	non
21ALRO155	Romaine	non
21ALRO156	Romaine	non
21ALRO157	Romaine	non
21ALRO158	Romaine	non
22ALRO002	Puyjalon	non
22ALRO003	Romaine	oui
22ALRO004	Romaine	oui
22ALRO006	Romaine	oui
22ALRO007	Romaine	oui
23ALPU001	Romaine	oui
23ALPU002	Puyjalon	non
23ALPU003	Puyjalon	non
23ALPU004	Puyjalon	oui
23ALPU005	Puyjalon	non
23ALPU006	Puyjalon	non
23ALPU007	Puyjalon	non
23ALPU008	Puyjalon	oui
23ALPU009	Puyjalon	non
23ALPU010	Puyjalon	non
23ALPU011	Puyjalon	non
23ALPU012	Puyjalon	non
23ALPU013	Puyjalon	non
23ALPU014	Puyjalon	non
23ALPU015	Puyjalon	non
23ALPU016	Puyjalon	non
23ALPU017	Puyjalon	non
23ALPU018	Puyjalon	non
23ALPU019	Puyjalon	non
23ALPU020	Puyjalon	non
23ALPU021	Puyjalon	non
23ALPU022	Puyjalon	non
23ALPU023	Puyjalon	non
23ALPU024	Puyjalon	non
23ALPU025	Puyjalon	non
23ALPU026	Puyjalon	non
23ALPU027	Puyjalon	non
23ALPU028	Puyjalon	non
23ALPU029	Puyjalon	non
23ALPU030	Puyjalon	non
23ALPU031	Puyjalon	non
23ALPU032	Puyjalon	non
23ALPU033	Puyjalon	non
23ALPU034	Puyjalon	non
23ALPU035	Puyjalon	non
23ALPU036	Puyjalon	non
23ALPU037	Puyjalon	oui
23ALPU038	Puyjalon	non
23ALPU039	Puyjalon	oui
23ALPU040	Puyjalon	non
23ALPU041	Puyjalon	non
23ALPU042	Puyjalon	non
23ALPU043	Puyjalon	non
23ALPU044	Puyjalon	non
23ALPU045	Puyjalon	oui
23ALPU046	Puyjalon	non
23ALPU047	Puyjalon	non
23ALPU048	Puyjalon	non
23ALPU049	Puyjalon	non
23ALPU050	Puyjalon	non
23ALPU051	Puyjalon	non
23ALPU052	Puyjalon	non
23ALPU053	Puyjalon	non
23ALPU054	Puyjalon	oui
23ALPU055	Puyjalon	non
23ALPU056	Puyjalon	non
23ALPU057	Puyjalon	non
23ALPU058	Puyjalon	non
23ALPU059	Puyjalon	non
23ALPU060	Puyjalon	non
23ALPU061	Puyjalon	non
23ALPU062	Puyjalon	non
23ALPU063	Puyjalon	non
23ALPU064	Puyjalon	non
23ALPU065	Puyjalon	non
23ALPU066	Puyjalon	non
23ALPU067	Puyjalon	non
23ALPU068	Puyjalon	oui
23ALPU069	Puyjalon	non
23ALPU070	Puyjalon	non
23ALPU071	Puyjalon	non
23ALPU072	Puyjalon	oui
23ALPU073	Puyjalon	non
23ALPU074	Puyjalon	oui
23ALPU075	Puyjalon	non
23ALPU076	Puyjalon	non
23ALPU077	Puyjalon	non
23ALPU078	Puyjalon	non
23ALPU079	Puyjalon	non
23ALPU080	Puyjalon	non
23ALPU081	Puyjalon	non
23ALPU082	Puyjalon	non
23ALPU083	Puyjalon	oui
23ALPU084	Puyjalon	non
23ALPU085	Puyjalon	non
23ALPU086	Puyjalon	oui
23ALPU087	Puyjalon	non
23ALPU088	Puyjalon	non
23ALPU089	Puyjalon	non
23ALPU090	Puyjalon	non
23ALPU091	Puyjalon	non
23ALRO001	Romaine	oui
23ALRO002	Romaine	oui
23ALRO003	Romaine	non
23ALRO004	Romaine	oui
23ALRO005	Romaine	oui
23ALRO006	Romaine	non
23ALRO007	Romaine	oui
23ALRO008	Romaine	oui
23ALRO009	Romaine	oui
23ALRO010	Romaine	oui
23ALRO011	Romaine	non
23ALRO012	Romaine	oui
23ALRO013	Romaine	non
23ALRO014	Romaine	non
23ALRO015	Romaine	oui
23ALRO016	Romaine	Sheldrake
23ALRO017	Romaine	oui
23ALRO018	Romaine	oui
23ALRO019	Romaine	oui
23ALRO020	Romaine	oui
23ALRO021	Romaine	non
23ALRO022	Romaine	oui
23ALRO023	Romaine	oui
23ALRO024	Romaine	oui
23ALRO025	Romaine	oui
23ALRO026	Puyjalon	oui
23ALRO027	Romaine	oui
23ALRO028	Romaine	non
23ALRO029	Romaine	oui
23ALRO030	Romaine	oui
23ALRO031	Romaine	oui
23ALRO032	Romaine	oui
23ALRO033	Romaine	oui
23ALRO034	Romaine	oui
23ALRO035	Romaine	non
23ALRO036	Romaine	oui
23ALRO037	Romaine	oui
23ALRO038	Romaine	oui
23ALRO039	Romaine	oui
23ALRO040	Romaine	oui
23ALRO041	Romaine	oui
23ALRO042	Romaine	oui
23ALRO043	Romaine	non
23ALRO044	Romaine	non
23ALRO045	Romaine	non
23ALRO046	Romaine	oui
23ALRO047	Romaine	oui
23ALRO048	Romaine	oui
23ALRO049	Romaine	oui
23ALRO050	Romaine	non
23ALRO051	Romaine	non
23ALRO052	Romaine	oui
23ALRO053	Romaine	non
23ALRO054	Romaine	oui
23ALRO055	Romaine	oui
23ALRO056	Romaine	oui
23ALRO057	Romaine	nonexistant
23ALRO058	Romaine	Sheldrake
23ALRO059	Romaine	oui
23ALRO060	Romaine	oui
23ALRO061	Romaine	non
23ALRO062	Puyjalon	oui
23ALRO063	Romaine	oui
23ALRO064	Romaine	oui
23ALRO065	Romaine	oui
23ALRO066	Romaine	oui
23ALRO067	Romaine	oui
23ALRO068	Romaine	oui
23ALRO069	Romaine	non
23ALRO070	Romaine	non
23ALRO071	Romaine	oui
23ALRO072	Romaine	oui
23ALRO073	Romaine	oui
23ALRO074	Romaine	oui
23ALRO075	Romaine	non
23ALRO076	Romaine	non
23ALRO077	Romaine	non
23ALRO078	Romaine	oui
23ALRO079	Romaine	oui
23ALRO080	Romaine	non
23ALRO081	Romaine	oui
23ALRO082	Romaine	oui
23ALRO083	Romaine	non
23ALRO084	Romaine	oui
23ALRO085	Romaine	non
23ALRO086	Romaine	non
23ALRO087	Romaine	non
23ALRO088	Romaine	oui
23ALRO089	Romaine	oui
23ALRO090	Romaine	oui
23ALRO091	Romaine	non
23ALRO092	Romaine	non
23ALRO093	Romaine	non
23ALRO094	Romaine	oui
23ALRO095	Romaine	non
23ALRO096	Romaine	non
23ALRO097	Romaine	non
23ALRO098	Romaine	non
23ALRO099	Romaine	oui
23ALRO100	Romaine	non
23ALRO101	Romaine	non
23ALRO102	Romaine	non
23ALRO103	Romaine	non
23ALRO104	Romaine	oui
23ALRO105	Romaine	oui
23ALRO106	Romaine	non
23ALRO107	Romaine	non
23ALRO108	Romaine	oui
23ALRO109	Romaine	non
23ALRO110	Romaine	non
23ALRO111	Romaine	non
23ALRO112	Romaine	non
23ALRO113	Romaine	non
23ALRO114	Romaine	non
23ALRO115	Romaine	non
23ALRO116	Romaine	non
23ALRO117	Romaine	oui
23ALRO118	Romaine	oui
23ALRO119	Romaine	non
23ALRO120	Romaine	non
23ALRO121	Romaine	oui
23ALRO122	Romaine	oui
23ALRO123	Romaine	oui
23ALRO124	Romaine	oui
23ALRO125	Romaine	non
23ALRO126	Romaine	non
23ALRO127	Romaine	non
23ALRO128	Romaine	non
23ALRO129	Romaine	non
23ALRO130	Romaine	oui
23ALRO131	Romaine	oui
23ALRO132	Romaine	oui
23ALRO133	Romaine	oui
23ALRO134	Romaine	non
23ALRO135	Romaine	oui
23ALRO136	Romaine	non
23ALRO137	Romaine	oui
23ALRO138	Romaine	non
23ALRO139	Romaine	non
23ALRO140	Romaine	non
23ALRO141	Romaine	non
23ALRO142	Romaine	oui
23ALRO143	Romaine	non
23ALRO144	Romaine	oui
23ALRO145	Romaine	oui
23ALRO146	Romaine	oui
23ALRO147	Romaine	oui
23ALRO148	Romaine	oui
23ALRO149	Romaine	oui
23ALRO150	Romaine	oui
23ALRO151	Romaine	oui
23ALRO152	Romaine	oui
23ALRO153	Romaine	oui
23ALRO154	Romaine	oui
23ALRO155	Romaine	oui
23ALRO156	Romaine	non
23ALRO157	Romaine	oui
23ALRO158	Romaine	non
23ALRO159	Romaine	oui
23ALRO160	Romaine	oui
23ALRO161	Romaine	oui
23ALRO162	Romaine	oui
23ALRO163	Romaine	oui
23ALRO164	Romaine	non
23ALRO165	Romaine	non
23ALRO166	Romaine	oui
23ALRO167	Romaine	oui
23ALRO168	Romaine	oui
23ALRO169	Romaine	oui
23ALRO170	Romaine	oui
23ALRO171	Romaine	oui
23ALRO172	Romaine	oui
23ALRO173	Romaine	oui
23ALRO174	Romaine	oui
23ALRO175	Romaine	non
23ALRO176	Romaine	non
23ALRO177	Romaine	non
23ALRO178	Romaine	oui
23ALRO179	Romaine	oui
23ALRO180	Romaine	oui
23ALRO181	Romaine	non
23ALRO182	Romaine	non
23ALRO183	Romaine	oui
23ALRO184	Romaine	oui
23ALRO185	Romaine	non
23ALRO186	Romaine	oui
23ALRO187	Romaine	oui
23ALRO188	Romaine	oui
23ALRO189	Romaine	oui
23ALRO190	Romaine	non
23ALRO191	Romaine	non
23ALRO192	Romaine	oui
23ALRO193	Romaine	non
23ALRO194	Romaine	oui
23ALRO195	Romaine	non
23ALRO196	Romaine	non
23ALRO197	Romaine	oui
23ALRO198	Romaine	oui
23ALRO199	Romaine	oui
23ALRO200	Romaine	oui
23ALRO201	Romaine	non
23ALRO202	Romaine	non
23ALRO203	Romaine	oui
13001	Puyjalon	non
13002	Romaine	non
13003	Romaine	non
13006	Romaine	non
13007	Puyjalon	non
13011	Romaine	non
13012	Puyjalon	non
13013	Romaine	non
13014	Puyjalon	non
13015	Romaine	non
13016	Romaine	non
13018	Puyjalon	non
13019	Romaine	non
13020	Puyjalon	non
13021	Puyjalon	non
13023	Romaine	non
13024	Puyjalon	non
13025	Puyjalon	non
13026	Romaine	non
13027	Puyjalon	non
13028	Puyjalon	non
13029	Romaine	non
13030	Romaine	non
13031	Puyjalon	non
13032	Puyjalon	non
13033	Puyjalon	non
13034	Puyjalon	non
13035	Romaine	non
13036	Romaine	non
13040	Puyjalon	non
13041	Puyjalon	non
13042	Romaine	non
13043	Romaine	non
13045	Romaine	non
13047	Romaine	non
13048	Puyjalon	non
13051	Puyjalon	non
13052	Puyjalon	non
13053	Romaine	non
13054	Romaine	non
13055	Romaine	non
13056	Romaine	non
13059	Romaine	non
13060	Puyjalon	non
13061	Puyjalon	non
13062	Romaine	non
13063	Romaine	non
13064	Puyjalon	non
13065	Romaine	non
13066	Romaine	non
13069	Puyjalon	non
13070	Romaine	non
13071	Romaine	non
13072	Puyjalon	non
13073	Puyjalon	non
13074	Romaine	non
13075	Puyjalon	non
13076	Romaine	non
13077	Puyjalon	non
13080	Romaine	non
13081	Romaine	non
13082	Puyjalon	non
13083	Puyjalon	non
13085	Puyjalon	non
13086	Puyjalon	non
13088	Romaine	non
13089	Romaine	non
13090	Puyjalon	non
13091	Romaine	non
13092	Romaine	non
13093	Romaine	non
13094	Romaine	non
13095	Puyjalon	non
13096	Puyjalon	non
13097	Puyjalon	non
13098	Puyjalon	non
13099	Romaine	non
13101	Puyjalon	non
13102	Puyjalon	non
13103	Romaine	non
13105	Puyjalon	non
13107	Puyjalon	non
13108	Puyjalon	non
13109	Puyjalon	non
13110	Puyjalon	non
13111	Romaine	non
13112	Romaine	non
13113	Puyjalon	non
13116	Romaine	non
13117	Romaine	non
13118	Romaine	non
13119	Romaine	non
13120	Puyjalon	non
13121	Puyjalon	non
13123	Puyjalon	non
13125	Romaine	non
13126	Romaine	non
13127	Puyjalon	non
13129	Romaine	non
13130	Puyjalon	non
13131	Romaine	non
13135	Puyjalon	non
13137	Puyjalon	non
13138	Romaine	non
13139	Puyjalon	non
13140	Puyjalon	non
13141	Puyjalon	non
13143	Romaine	non
13146	Puyjalon	non
13148	Puyjalon	non
13149	Romaine	non
13150	Puyjalon	non
13151	Romaine	non
13152	Puyjalon	non
13154	Romaine	non
13156	Romaine	non
13157	Puyjalon	non
13159	Puyjalon	non
13161	Romaine	non
13162	Puyjalon	non
13163	Romaine	non
13164	Romaine	non
13166	Puyjalon	non
13167	Romaine	non
13168	Romaine	non
13170	Puyjalon	non
13171	Romaine	non
13172	Puyjalon	non
13173	Puyjalon	non
13174	Puyjalon	non
13175	Puyjalon	non
13177	Puyjalon	non
13178	Puyjalon	non
13179	Puyjalon	non
13180	Romaine	non
13181	Romaine	non
13185	Puyjalon	non
13186	Puyjalon	non
13187	Puyjalon	non
13188	Puyjalon	non
13190	Romaine	non
13191	Puyjalon	non
13192	Romaine	non
13193	Puyjalon	non
13194	Romaine	non
13195	Puyjalon	non
13196	Puyjalon	non
14001	Puyjalon	non
14002	Puyjalon	non
14004	Puyjalon	non
14005	Puyjalon	non
14006	Romaine	non
14009	Puyjalon	non
14010	Puyjalon	non
14011	Romaine	non
14012	Puyjalon	non
14013	Romaine	non
14015	Puyjalon	non
14016	Puyjalon	non
14019	Puyjalon	non
14020	Romaine	non
14021	Puyjalon	non
14022	Romaine	non
14025	Romaine	non
14026	Puyjalon	non
14029	Puyjalon	non
14030	Puyjalon	non
14032	Romaine	non
14033	Puyjalon	non
14034	Romaine	non
14035	Romaine	non
14036	Romaine	non
14038	Romaine	non
14041	Romaine	non
14042	Romaine	non
14043	Romaine	non
14045	Puyjalon	non
14047	Puyjalon	non
14048	Puyjalon	non
14049	Puyjalon	non
14050	Puyjalon	non
14051	Puyjalon	non
14052	Puyjalon	non
14053	Puyjalon	non
14054	Romaine	non
14059	Romaine	non
14062	Romaine	non
14063	Puyjalon	non
14064	Puyjalon	non
14065	Puyjalon	non
14066	Romaine	non
14067	Romaine	non
14068	Puyjalon	non
14074	Romaine	non
14075	Romaine	non
14076	Romaine	non
14077	Romaine	non
14078	Puyjalon	non
14079	Puyjalon	non
14080	Romaine	non
14083	Puyjalon	non
14085	Puyjalon	non
14086	Romaine	non
14087	Puyjalon	non
14088	Romaine	non
14091	Puyjalon	non
14092	Puyjalon	non
14093	Puyjalon	non
14094	Puyjalon	non
14095	Puyjalon	non
14096	Romaine	non
14097	Puyjalon	non
14098	Romaine	non
14099	Romaine	non
14101	Puyjalon	non
14102	Puyjalon	non
14103	Puyjalon	non
14104	Puyjalon	non
14106	Puyjalon	non
14108	Puyjalon	non
14109	Puyjalon	non
14110	Romaine	non
14111	Romaine	non
14113	Puyjalon	non
14114	Puyjalon	non
14115	Romaine	non
14116	Puyjalon	non
14117	Puyjalon	non
14118	Romaine	non
14122	Romaine	non
14123	Puyjalon	non
14125	Romaine	non
14127	Puyjalon	non
14128	Romaine	non
14129	Puyjalon	non
14131	Puyjalon	non
14132	Puyjalon	non
14133	Romaine	non
14134	Romaine	non
14135	Puyjalon	non
14136	Puyjalon	non
14137	Puyjalon	non
14138	Puyjalon	non
14139	Puyjalon	non
14140	Puyjalon	non
14141	Puyjalon	non
14142	Puyjalon	non
14144	Romaine	non
14147	Romaine	non
14148	Romaine	non
14149	Puyjalon	non
14150	Puyjalon	non
14151	Puyjalon	non
14153	Puyjalon	non
14154	Puyjalon	non
14156	Puyjalon	non
14157	Puyjalon	non
14158	Puyjalon	non
14159	Puyjalon	non
14161	Romaine	non
14163	Puyjalon	non
14165	Puyjalon	non
14166	Puyjalon	non
14167	Puyjalon	non
15020	Puyjalon	non
15021	Romaine	non
15022	Puyjalon	non
15023	Puyjalon	non
15024	Puyjalon	non
15026	Puyjalon	non
15028	Romaine	non
15029	Puyjalon	non
15032	Romaine	non
15033	Romaine	non
15034	Puyjalon	non
15035	Romaine	non
15038	Puyjalon	non
15039	Romaine	non
17201	Puyjalon	non
17202	Puyjalon	non
17203	Puyjalon	non
