ID	Origin	Stage	Year	Sex	Population
13119	SmoltLARSA	Smolt	2013	M	Romaine
13120	SmoltLARSA	Smolt	2013	F	Puyjalon
13121	SmoltLARSA	Smolt	2013	M	Puyjalon
13123	SmoltLARSA	Smolt	2013	M	Puyjalon
13125	SmoltLARSA	Smolt	2013	F	Romaine
13126	SmoltLARSA	Smolt	2013	M	Romaine
13127	SmoltLARSA	Smolt	2013	F	Puyjalon
13129	SmoltLARSA	Smolt	2013	M	Romaine
13130	SmoltLARSA	Smolt	2013	M	Puyjalon
13131	SmoltLARSA	Smolt	2013	M	Romaine
13135	SmoltLARSA	Smolt	2013	F	Puyjalon
13137	SmoltLARSA	Smolt	2013	F	Puyjalon
13138	SmoltLARSA	Smolt	2013	F	Romaine
13139	SmoltLARSA	Smolt	2013	M	Puyjalon
13140	SmoltLARSA	Smolt	2013	F	Puyjalon
13141	SmoltLARSA	Smolt	2013	F	Puyjalon
13143	SmoltLARSA	Smolt	2013	F	Romaine
13146	SmoltLARSA	Smolt	2013	F	Puyjalon
13148	SmoltLARSA	Smolt	2013	F	Puyjalon
13149	SmoltLARSA	Smolt	2013	M	Romaine
13150	SmoltLARSA	Smolt	2013	M	Puyjalon
13151	SmoltLARSA	Smolt	2013	F	Romaine
13152	SmoltLARSA	Smolt	2013	F	Puyjalon
13154	SmoltLARSA	Smolt	2013	M	Romaine
13156	SmoltLARSA	Smolt	2013	M	Romaine
13157	SmoltLARSA	Smolt	2013	M	Puyjalon
13159	SmoltLARSA	Smolt	2013	M	Puyjalon
13161	SmoltLARSA	Smolt	2013	M	Romaine
13162	SmoltLARSA	Smolt	2013	M	Puyjalon
13163	SmoltLARSA	Smolt	2013	F	Romaine
13164	SmoltLARSA	Smolt	2013	F	Romaine
13166	SmoltLARSA	Smolt	2013	F	Puyjalon
13167	SmoltLARSA	Smolt	2013	F	Romaine
13168	SmoltLARSA	Smolt	2013	F	Romaine
13170	SmoltLARSA	Smolt	2013	F	Puyjalon
13171	SmoltLARSA	Smolt	2013	F	Romaine
13172	SmoltLARSA	Smolt	2013	M	Puyjalon
13173	SmoltLARSA	Smolt	2013	F	Puyjalon
13174	SmoltLARSA	Smolt	2013	F	Puyjalon
13175	SmoltLARSA	Smolt	2013	F	Puyjalon
13177	SmoltLARSA	Smolt	2013	M	Puyjalon
13178	SmoltLARSA	Smolt	2013	F	Puyjalon
13179	SmoltLARSA	Smolt	2013	M	Puyjalon
13180	SmoltLARSA	Smolt	2013	F	Romaine
13181	SmoltLARSA	Smolt	2013	M	Romaine
13185	SmoltLARSA	Smolt	2013	F	Puyjalon
13186	SmoltLARSA	Smolt	2013	F	Puyjalon
13187	SmoltLARSA	Smolt	2013	M	Puyjalon
13188	SmoltLARSA	Smolt	2013	F	Puyjalon
13190	SmoltLARSA	Smolt	2013	M	Romaine
13191	SmoltLARSA	Smolt	2013	F	Puyjalon
13192	SmoltLARSA	Smolt	2013	F	Romaine
13193	SmoltLARSA	Smolt	2013	M	Puyjalon
13194	SmoltLARSA	Smolt	2013	M	Romaine
13195	SmoltLARSA	Smolt	2013	F	Puyjalon
13196	SmoltLARSA	Smolt	2013	M	Puyjalon
14001	SmoltLARSA	Smolt	2014	F	Puyjalon
14002	SmoltLARSA	Smolt	2014	F	Puyjalon
14004	SmoltLARSA	Smolt	2014	F	Puyjalon
14005	SmoltLARSA	Smolt	2014	M	Puyjalon
14006	SmoltLARSA	Smolt	2014	M	Romaine
14009	SmoltLARSA	Smolt	2014	M	Puyjalon
14010	SmoltLARSA	Smolt	2014	M	Puyjalon
14011	SmoltLARSA	Smolt	2014	M	Romaine
14012	SmoltLARSA	Smolt	2014	F	Puyjalon
14013	SmoltLARSA	Smolt	2014	F	Romaine
14015	SmoltLARSA	Smolt	2014	F	Puyjalon
14016	SmoltLARSA	Smolt	2014	M	Puyjalon
14019	SmoltLARSA	Smolt	2014	F	Puyjalon
14020	SmoltLARSA	Smolt	2014	M	Romaine
14021	SmoltLARSA	Smolt	2014	F	Puyjalon
14022	SmoltLARSA	Smolt	2014	F	Romaine
14025	SmoltLARSA	Smolt	2014	F	Romaine
14026	SmoltLARSA	Smolt	2014	F	Puyjalon
14029	SmoltLARSA	Smolt	2014	F	Puyjalon
14030	SmoltLARSA	Smolt	2014	M	Puyjalon
14032	SmoltLARSA	Smolt	2014	F	Romaine
14033	SmoltLARSA	Smolt	2014	M	Puyjalon
14034	SmoltLARSA	Smolt	2014	M	Romaine
14035	SmoltLARSA	Smolt	2014	M	Romaine
14036	SmoltLARSA	Smolt	2014	F	Romaine
14038	SmoltLARSA	Smolt	2014	M	Romaine
14041	SmoltLARSA	Smolt	2014	M	Romaine
14042	SmoltLARSA	Smolt	2014	M	Romaine
14043	SmoltLARSA	Smolt	2014	F	Romaine
14045	SmoltLARSA	Smolt	2014	M	Puyjalon
14047	SmoltLARSA	Smolt	2014	F	Puyjalon
14048	SmoltLARSA	Smolt	2014	F	Puyjalon
14049	SmoltLARSA	Smolt	2014	F	Puyjalon
14050	SmoltLARSA	Smolt	2014	F	Puyjalon
14051	SmoltLARSA	Smolt	2014	F	Puyjalon
14052	SmoltLARSA	Smolt	2014	F	Puyjalon
14053	SmoltLARSA	Smolt	2014	M	Puyjalon
14054	SmoltLARSA	Smolt	2014	F	Romaine
14059	SmoltLARSA	Smolt	2014	M	Romaine
14062	SmoltLARSA	Smolt	2014	F	Romaine
14063	SmoltLARSA	Smolt	2014	F	Puyjalon
14064	SmoltLARSA	Smolt	2014	M	Puyjalon
14065	SmoltLARSA	Smolt	2014	F	Puyjalon
14066	SmoltLARSA	Smolt	2014	M	Romaine
14067	SmoltLARSA	Smolt	2014	F	Romaine
14068	SmoltLARSA	Smolt	2014	M	Puyjalon
14074	SmoltLARSA	Smolt	2014	F	Romaine
14075	SmoltLARSA	Smolt	2014	M	Romaine
14076	SmoltLARSA	Smolt	2014	F	Romaine
14077	SmoltLARSA	Smolt	2014	M	Romaine
14078	SmoltLARSA	Smolt	2014	F	Puyjalon
14079	SmoltLARSA	Smolt	2014	F	Puyjalon
14080	SmoltLARSA	Smolt	2014	F	Romaine
14083	SmoltLARSA	Smolt	2014	M	Puyjalon
14085	SmoltLARSA	Smolt	2014	F	Puyjalon
14086	SmoltLARSA	Smolt	2014	M	Romaine
14087	SmoltLARSA	Smolt	2014	M	Puyjalon
14088	SmoltLARSA	Smolt	2014	M	Romaine
14091	SmoltLARSA	Smolt	2014	M	Puyjalon
14092	SmoltLARSA	Smolt	2014	F	Puyjalon
14093	SmoltLARSA	Smolt	2014	M	Puyjalon
14094	SmoltLARSA	Smolt	2014	F	Puyjalon
14095	SmoltLARSA	Smolt	2014	F	Puyjalon
14096	SmoltLARSA	Smolt	2014	F	Romaine
14097	SmoltLARSA	Smolt	2014	M	Puyjalon
14098	SmoltLARSA	Smolt	2014	M	Romaine
14099	SmoltLARSA	Smolt	2014	M	Romaine
14101	SmoltLARSA	Smolt	2014	M	Puyjalon
14102	SmoltLARSA	Smolt	2014	M	Puyjalon
14103	SmoltLARSA	Smolt	2014	F	Puyjalon
14104	SmoltLARSA	Smolt	2014	F	Puyjalon
14106	SmoltLARSA	Smolt	2014	F	Puyjalon
14108	SmoltLARSA	Smolt	2014	F	Puyjalon
14109	SmoltLARSA	Smolt	2014	F	Puyjalon
14110	SmoltLARSA	Smolt	2014	M	Romaine
14111	SmoltLARSA	Smolt	2014	M	Romaine
14113	SmoltLARSA	Smolt	2014	F	Puyjalon
14114	SmoltLARSA	Smolt	2014	F	Puyjalon
14115	SmoltLARSA	Smolt	2014	F	Romaine
14116	SmoltLARSA	Smolt	2014	F	Puyjalon
14117	SmoltLARSA	Smolt	2014	F	Puyjalon
14118	SmoltLARSA	Smolt	2014	F	Romaine
14122	SmoltLARSA	Smolt	2014	F	Romaine
14123	SmoltLARSA	Smolt	2014	M	Puyjalon
14125	SmoltLARSA	Smolt	2014	F	Romaine
14127	SmoltLARSA	Smolt	2014	F	Puyjalon
14128	SmoltLARSA	Smolt	2014	M	Romaine
14129	SmoltLARSA	Smolt	2014	M	Puyjalon
14131	SmoltLARSA	Smolt	2014	M	Puyjalon
14132	SmoltLARSA	Smolt	2014	M	Puyjalon
14133	SmoltLARSA	Smolt	2014	F	Romaine
14134	SmoltLARSA	Smolt	2014	M	Romaine
14135	SmoltLARSA	Smolt	2014	F	Puyjalon
14136	SmoltLARSA	Smolt	2014	M	Puyjalon
14137	SmoltLARSA	Smolt	2014	M	Puyjalon
14138	SmoltLARSA	Smolt	2014	F	Puyjalon
14139	SmoltLARSA	Smolt	2014	F	Puyjalon
14140	SmoltLARSA	Smolt	2014	F	Puyjalon
14141	SmoltLARSA	Smolt	2014	F	Puyjalon
14142	SmoltLARSA	Smolt	2014	F	Puyjalon
14144	SmoltLARSA	Smolt	2014	F	Romaine
14147	SmoltLARSA	Smolt	2014	M	Romaine
14148	SmoltLARSA	Smolt	2014	M	Romaine
14149	SmoltLARSA	Smolt	2014	F	Puyjalon
14150	SmoltLARSA	Smolt	2014	F	Puyjalon
14151	SmoltLARSA	Smolt	2014	M	Puyjalon
14153	SmoltLARSA	Smolt	2014	F	Puyjalon
14154	SmoltLARSA	Smolt	2014	F	Puyjalon
14156	SmoltLARSA	Smolt	2014	M	Puyjalon
14157	SmoltLARSA	Smolt	2014	F	Puyjalon
14158	SmoltLARSA	Smolt	2014	M	Puyjalon
14159	SmoltLARSA	Smolt	2014	M	Puyjalon
14161	SmoltLARSA	Smolt	2014	M	Romaine
14163	SmoltLARSA	Smolt	2014	M	Puyjalon
14165	SmoltLARSA	Smolt	2014	M	Puyjalon
14166	SmoltLARSA	Smolt	2014	F	Puyjalon
14167	SmoltLARSA	Smolt	2014	M	Puyjalon
15020	SmoltLARSA	Smolt	2015	M	Puyjalon
15021	SmoltLARSA	Smolt	2015	F	Romaine
15022	SmoltLARSA	Smolt	2015	F	Puyjalon
15023	SmoltLARSA	Smolt	2015	F	Puyjalon
15024	SmoltLARSA	Smolt	2015	F	Puyjalon
15026	SmoltLARSA	Smolt	2015	F	Puyjalon
15028	SmoltLARSA	Smolt	2015	F	Romaine
15029	SmoltLARSA	Smolt	2015	M	Puyjalon
15032	SmoltLARSA	Smolt	2015	F	Romaine
15033	SmoltLARSA	Smolt	2015	F	Romaine
15034	SmoltLARSA	Smolt	2015	F	Puyjalon
15035	SmoltLARSA	Smolt	2015	M	Romaine
15038	SmoltLARSA	Smolt	2015	M	Puyjalon
15039	SmoltLARSA	Smolt	2015	M	Romaine
17201	SmoltLARSA	Smolt	2017	F	Puyjalon
17202	SmoltLARSA	Smolt	2017	F	Puyjalon
17203	SmoltLARSA	Smolt	2017	F	Puyjalon
17204	SmoltLARSA	Smolt	2017	F	Puyjalon
17205	SmoltLARSA	Smolt	2017	F	Puyjalon
17206	SmoltLARSA	Smolt	2017	F	Puyjalon
17207	SmoltLARSA	Smolt	2017	F	Puyjalon
17209	SmoltLARSA	Smolt	2017	M	Romaine
17210	SmoltLARSA	Smolt	2017	F	Puyjalon
17211	SmoltLARSA	Smolt	2017	F	Puyjalon
17212	SmoltLARSA	Smolt	2017	F	Puyjalon
17213	SmoltLARSA	Smolt	2017	F	Puyjalon
17214	SmoltLARSA	Smolt	2017	F	Puyjalon
18001	SmoltLARSA	Smolt	2018	F	Romaine
18002	SmoltLARSA	Smolt	2018	M	Romaine
19031	SmoltLARSA	Smolt	2019	M	Puyjalon
19032	SmoltLARSA	Smolt	2019	F	Puyjalon
19033	SmoltLARSA	Smolt	2019	F	Puyjalon
19034	SmoltLARSA	Smolt	2019	M	Puyjalon
19035	SmoltLARSA	Smolt	2019	F	Puyjalon
19036	SmoltLARSA	Smolt	2019	M	Puyjalon
19037	SmoltLARSA	Smolt	2019	M	Puyjalon
19038	SmoltLARSA	Smolt	2019	F	Puyjalon
19039	SmoltLARSA	Smolt	2019	M	Romaine
19040	SmoltLARSA	Smolt	2019	F	Puyjalon
19041	SmoltLARSA	Smolt	2019	M	Puyjalon
19042	SmoltLARSA	Smolt	2019	F	Puyjalon
19043	SmoltLARSA	Smolt	2019	F	Puyjalon
19044	SmoltLARSA	Smolt	2019	F	Puyjalon
19045	SmoltLARSA	Smolt	2019	F	Puyjalon
19046	SmoltLARSA	Smolt	2019	M	Puyjalon
19047	SmoltLARSA	Smolt	2019	M	Puyjalon
19048	SmoltLARSA	Smolt	2019	M	Puyjalon
19049	SmoltLARSA	Smolt	2019	M	Puyjalon
19050	SmoltLARSA	Smolt	2019	M	Romaine
19051	SmoltLARSA	Smolt	2019	F	Puyjalon
19052	SmoltLARSA	Smolt	2019	F	Puyjalon
19053	SmoltLARSA	Smolt	2019	F	Puyjalon
19054	SmoltLARSA	Smolt	2019	M	Puyjalon
19055	SmoltLARSA	Smolt	2019	F	Puyjalon
19056	SmoltLARSA	Smolt	2019	F	Puyjalon
19057	SmoltLARSA	Smolt	2019	F	Puyjalon
19058	SmoltLARSA	Smolt	2019	M	Puyjalon
19059	SmoltLARSA	Smolt	2019	M	Puyjalon
19060	SmoltLARSA	Smolt	2019	M	Puyjalon
19061	SmoltLARSA	Smolt	2019	M	Puyjalon
19062	SmoltLARSA	Smolt	2019	M	Romaine
19063	SmoltLARSA	Smolt	2019	F	Puyjalon
19064	SmoltLARSA	Smolt	2019	F	Romaine
19065	SmoltLARSA	Smolt	2019	M	Puyjalon
19066	SmoltLARSA	Smolt	2019	F	Puyjalon
20019	SmoltLARSA	Smolt	2020	F	Puyjalon
20020	SmoltLARSA	Smolt	2020	F	Puyjalon
20021	SmoltLARSA	Smolt	2020	F	Puyjalon
20022	SmoltLARSA	Smolt	2020	M	Puyjalon
20023	SmoltLARSA	Smolt	2020	M	Puyjalon
20024	SmoltLARSA	Smolt	2020	M	Romaine
20025	SmoltLARSA	Smolt	2020	M	Puyjalon
20026	SmoltLARSA	Smolt	2020	M	Puyjalon
20027	SmoltLARSA	Smolt	2020	F	Puyjalon
20028	SmoltLARSA	Smolt	2020	F	Puyjalon
20029	SmoltLARSA	Smolt	2020	F	Puyjalon
20030	SmoltLARSA	Smolt	2020	F	Puyjalon
20031	SmoltLARSA	Smolt	2020	F	Puyjalon
20032	SmoltLARSA	Smolt	2020	F	Puyjalon
20033	SmoltLARSA	Smolt	2020	F	Puyjalon
20034	SmoltLARSA	Smolt	2020	F	Puyjalon
20035	SmoltLARSA	Smolt	2020	M	Puyjalon
20036	SmoltLARSA	Smolt	2020	M	Romaine
20037	SmoltLARSA	Smolt	2020	M	Puyjalon
20038	SmoltLARSA	Smolt	2020	F	Puyjalon
20039	SmoltLARSA	Smolt	2020	M	Puyjalon
20040	SmoltLARSA	Smolt	2020	F	Puyjalon
20041	SmoltLARSA	Smolt	2020	F	Puyjalon
20042	SmoltLARSA	Smolt	2020	F	Romaine
20043	SmoltLARSA	Smolt	2020	F	Puyjalon
20044	SmoltLARSA	Smolt	2020	F	Puyjalon
20045	SmoltLARSA	Smolt	2020	F	Puyjalon
20046	SmoltLARSA	Smolt	2020	F	Puyjalon
20047	SmoltLARSA	Smolt	2020	M	Puyjalon
20048	SmoltLARSA	Smolt	2020	F	Puyjalon
20049	SmoltLARSA	Smolt	2020	M	Puyjalon
20050	SmoltLARSA	Smolt	2020	M	Puyjalon
20051	SmoltLARSA	Smolt	2020	F	Puyjalon
20052	SmoltLARSA	Smolt	2020	M	Puyjalon
20053	SmoltLARSA	Smolt	2020	F	Puyjalon
20054	SmoltLARSA	Smolt	2020	F	Puyjalon
20055	SmoltLARSA	Smolt	2020	M	Puyjalon
20056	SmoltLARSA	Smolt	2020	M	Puyjalon
20057	SmoltLARSA	Smolt	2020	F	Puyjalon
20058	SmoltLARSA	Smolt	2020	M	Puyjalon
20059	SmoltLARSA	Smolt	2020	F	Puyjalon
20060	SmoltLARSA	Smolt	2020	M	Puyjalon
20061	SmoltLARSA	Smolt	2020	F	Puyjalon
20062	SmoltLARSA	Smolt	2020	F	Puyjalon
20063	SmoltLARSA	Smolt	2020	F	Puyjalon
20064	SmoltLARSA	Smolt	2020	F	Puyjalon
20065	SmoltLARSA	Smolt	2020	M	Puyjalon
20066	SmoltLARSA	Smolt	2020	F	Romaine
20067	SmoltLARSA	Smolt	2020	M	Puyjalon
20068	SmoltLARSA	Smolt	2020	F	Puyjalon
20069	SmoltLARSA	Smolt	2020	F	Puyjalon
20070	SmoltLARSA	Smolt	2020	F	Puyjalon
20071	SmoltLARSA	Smolt	2020	M	Puyjalon
20072	SmoltLARSA	Smolt	2020	F	Puyjalon
20073	SmoltLARSA	Smolt	2020	F	Puyjalon
20074	SmoltLARSA	Smolt	2020	F	Puyjalon
20075	SmoltLARSA	Smolt	2020	M	Puyjalon
20076	SmoltLARSA	Smolt	2020	F	Puyjalon
20077	SmoltLARSA	Smolt	2020	F	Romaine
20078	SmoltLARSA	Smolt	2020	F	Puyjalon
20079	SmoltLARSA	Smolt	2020	M	Puyjalon
20080	SmoltLARSA	Smolt	2020	F	Romaine
20081	SmoltLARSA	Smolt	2020	M	Puyjalon
20082	SmoltLARSA	Smolt	2020	F	Puyjalon
20083	SmoltLARSA	Smolt	2020	M	Puyjalon
20084	SmoltLARSA	Smolt	2020	F	Puyjalon
20085	SmoltLARSA	Smolt	2020	F	Romaine
20086	SmoltLARSA	Smolt	2020	M	Puyjalon
20087	SmoltLARSA	Smolt	2020	F	Puyjalon
20088	SmoltLARSA	Smolt	2020	M	Puyjalon
20089	SmoltLARSA	Smolt	2020	M	Puyjalon
20090	SmoltLARSA	Smolt	2020	F	Puyjalon
20091	SmoltLARSA	Smolt	2020	F	Puyjalon
20092	SmoltLARSA	Smolt	2020	F	Puyjalon
20093	SmoltLARSA	Smolt	2020	M	Romaine
20094	SmoltLARSA	Smolt	2020	M	Puyjalon
20095	SmoltLARSA	Smolt	2020	F	Puyjalon
20096	SmoltLARSA	Smolt	2020	F	Puyjalon
20097	SmoltLARSA	Smolt	2020	F	Puyjalon
20098	SmoltLARSA	Smolt	2020	F	Puyjalon
20099	SmoltLARSA	Smolt	2020	M	Puyjalon
20100	SmoltLARSA	Smolt	2020	F	Romaine
20101	SmoltLARSA	Smolt	2020	F	Puyjalon
20102	SmoltLARSA	Smolt	2020	F	Puyjalon
20103	SmoltLARSA	Smolt	2020	F	Puyjalon
20104	SmoltLARSA	Smolt	2020	F	Puyjalon
20105	SmoltLARSA	Smolt	2020	M	Puyjalon
20106	SmoltLARSA	Smolt	2020	F	Puyjalon
21035	SmoltLARSA	Smolt	2021	F	Puyjalon
21036	SmoltLARSA	Smolt	2021	M	Puyjalon
21037	SmoltLARSA	Smolt	2021	M	Puyjalon
21038	SmoltLARSA	Smolt	2021	F	Puyjalon
21039	SmoltLARSA	Smolt	2021	F	Puyjalon
21040	SmoltLARSA	Smolt	2021	F	Puyjalon
21041	SmoltLARSA	Smolt	2021	F	Puyjalon
21042	SmoltLARSA	Smolt	2021	F	Puyjalon
21043	SmoltLARSA	Smolt	2021	F	Puyjalon
21044	SmoltLARSA	Smolt	2021	F	Puyjalon
21045	SmoltLARSA	Smolt	2021	M	Puyjalon
21046	SmoltLARSA	Smolt	2021	M	Puyjalon
21047	SmoltLARSA	Smolt	2021	F	Puyjalon
21048	SmoltLARSA	Smolt	2021	F	Puyjalon
21049	SmoltLARSA	Smolt	2021	M	Puyjalon
21050	SmoltLARSA	Smolt	2021	F	Puyjalon
21051	SmoltLARSA	Smolt	2021	F	Romaine
21052	SmoltLARSA	Smolt	2021	M	Puyjalon
21053	SmoltLARSA	Smolt	2021	M	Puyjalon
21054	SmoltLARSA	Smolt	2021	F	Romaine
21055	SmoltLARSA	Smolt	2021	M	Puyjalon
21056	SmoltLARSA	Smolt	2021	F	Puyjalon
21057	SmoltLARSA	Smolt	2021	M	Puyjalon
21058	SmoltLARSA	Smolt	2021	F	Romaine
21059	SmoltLARSA	Smolt	2021	F	Puyjalon
21060	SmoltLARSA	Smolt	2021	M	Puyjalon
21061	SmoltLARSA	Smolt	2021	M	Puyjalon
21062	SmoltLARSA	Smolt	2021	F	Puyjalon
21063	SmoltLARSA	Smolt	2021	F	Puyjalon
21064	SmoltLARSA	Smolt	2021	M	Puyjalon
21065	SmoltLARSA	Smolt	2021	F	Puyjalon
21066	SmoltLARSA	Smolt	2021	M	Puyjalon
21067	SmoltLARSA	Smolt	2021	M	Puyjalon
21068	SmoltLARSA	Smolt	2021	F	Puyjalon
21069	SmoltLARSA	Smolt	2021	M	Puyjalon
21070	SmoltLARSA	Smolt	2021	F	Puyjalon
21071	SmoltLARSA	Smolt	2021	F	Puyjalon
21072	SmoltLARSA	Smolt	2021	F	Puyjalon
21073	SmoltLARSA	Smolt	2021	M	Puyjalon
21074	SmoltLARSA	Smolt	2021	M	Romaine
21075	SmoltLARSA	Smolt	2021	M	Puyjalon
21076	SmoltLARSA	Smolt	2021	F	Puyjalon
21077	SmoltLARSA	Smolt	2021	M	Puyjalon
21078	SmoltLARSA	Smolt	2021	M	Romaine
21079	SmoltLARSA	Smolt	2021	F	Puyjalon
21080	SmoltLARSA	Smolt	2021	M	Puyjalon
21081	SmoltLARSA	Smolt	2021	F	Puyjalon
21082	SmoltLARSA	Smolt	2021	F	Puyjalon
21083	SmoltLARSA	Smolt	2021	M	Puyjalon
21084	SmoltLARSA	Smolt	2021	F	Puyjalon
21085	SmoltLARSA	Smolt	2021	M	Romaine
21086	SmoltLARSA	Smolt	2021	M	Romaine
21087	SmoltLARSA	Smolt	2021	M	Puyjalon
21088	SmoltLARSA	Smolt	2021	M	Puyjalon
21089	SmoltLARSA	Smolt	2021	M	Romaine
21090	SmoltLARSA	Smolt	2021	M	Romaine
21091	SmoltLARSA	Smolt	2021	F	Romaine
21092	SmoltLARSA	Smolt	2021	M	Puyjalon
21093	SmoltLARSA	Smolt	2021	M	Romaine
21094	SmoltLARSA	Smolt	2021	F	Puyjalon
