Croisement	F_ID	OrigineF	Cohorte_F	M_ID	Origine_M	Cohorte_M	Year	Stocking_Year	Type	Offspring	Family	Cross	Family_N	Family_L	X	Dead_byF	Dead_byF2	Dead	Survival	Offspring_Surv
1300113098	13001	Puyjalon	2013	13098	Puyjalon	2013	2016	2017	RAS	1141	PU11-3C									
1300113034	13001	Puyjalon	2013	13034	Puyjalon	2013	2016	2017	RAS	1141	PU11-3B									
1313513098	13135	Puyjalon	2013	13098	Puyjalon	2013	2016	2017	RAS	1005	PU11-1C									
1313513034	13135	Puyjalon	2013	13034	Puyjalon	2013	2016	2017	RAS	1005	PU11-1B									
1317513098	13175	Puyjalon	2013	13098	Puyjalon	2013	2016	2017	RAS	1352	PU11-2C									
1317513034	13175	Puyjalon	2013	13034	Puyjalon	2013	2016	2017	RAS	1352	PU11-2B									
1313713048	13137	Puyjalon	2013	13048	Puyjalon	2013	2016	2017	RAS	814	PU13-2B									
1313713130	13137	Puyjalon	2013	13130	Puyjalon	2013	2016	2017	RAS	814	PU13-2A									
1415713048	14157	Puyjalon	2014	13048	Puyjalon	2013	2016	2017	RAS	433	PU13-1B									
1415713130	14157	Puyjalon	2014	13130	Puyjalon	2013	2016	2017	RAS	433	PU13-1A									
1301413077	13014	Puyjalon	2013	13077	Puyjalon	2013	2016	2017	RAS	1405	PU14-1A									
1301413041	13014	Puyjalon	2013	13041	Puyjalon	2013	2016	2017	RAS	1405	PU14-1B									
1301413034	13014	Puyjalon	2013	13034	Puyjalon	2013	2016	2017	RAS	1405	PU14-1C									
1303213077	13032	Puyjalon	2013	13077	Puyjalon	2013	2016	2017	RAS	1651	PU14-2A									
1303213041	13032	Puyjalon	2013	13041	Puyjalon	2013	2016	2017	RAS	1651	PU14-2B									
1303213034	13032	Puyjalon	2013	13034	Puyjalon	2013	2016	2017	RAS	1651	PU14-2C									
1312713077	13127	Puyjalon	2013	13077	Puyjalon	2013	2016	2017	RAS	2472	PU14-3A									
1312713041	13127	Puyjalon	2013	13041	Puyjalon	2013	2016	2017	RAS	2472	PU14-3B									
1312713034	13127	Puyjalon	2013	13034	Puyjalon	2013	2016	2017	RAS	2472	PU14-3C									
1302113064	13021	Puyjalon	2013	13064	Puyjalon	2013	2016	2017	RAS	2622	PU15-3A									
1302113108	13021	Puyjalon	2013	13108	Puyjalon	2013	2016	2017	RAS	2622	PU15-3C									
1302113031	13021	Puyjalon	2013	13031	Puyjalon	2013	2016	2017	RAS	2622	PU15-3B									
1307213064	13072	Puyjalon	2013	13064	Puyjalon	2013	2016	2017	RAS	272	PU15-1A									
1307213108	13072	Puyjalon	2013	13108	Puyjalon	2013	2016	2017	RAS	272	PU15-1C									
1307213031	13072	Puyjalon	2013	13031	Puyjalon	2013	2016	2017	RAS	272	PU15-1B									
1310213064	13102	Puyjalon	2013	13064	Puyjalon	2013	2016	2017	RAS	1342	PU15-2A									
1310213108	13102	Puyjalon	2013	13108	Puyjalon	2013	2016	2017	RAS	1342	PU15-2C									
1310213031	13102	Puyjalon	2013	13031	Puyjalon	2013	2016	2017	RAS	1342	PU15-2B									
1305113157	13051	Puyjalon	2013	13157	Puyjalon	2013	2016	2017	RAS	1899	PU16-1B									
1305113041	13051	Puyjalon	2013	13041	Puyjalon	2013	2016	2017	RAS	1899	PU16-1C									
1305114163	13051	Puyjalon	2013	14163	Puyjalon	2014	2016	2017	RAS	1899	PU16-1A									
1302513064	13025	Puyjalon	2013	13064	Puyjalon	2013	2016	2017	RAS	1984	PU2-1B									
1302513098	13025	Puyjalon	2013	13098	Puyjalon	2013	2016	2017	RAS	1984	PU2-1A									
1306013064	13060	Puyjalon	2013	13064	Puyjalon	2013	2016	2017	RAS	1090	PU2-2B									
1306013098	13060	Puyjalon	2013	13098	Puyjalon	2013	2016	2017	RAS	1090	PU2-2A									
1310713110	13107	Puyjalon	2013	13110	Puyjalon	2013	2016	2017	RAS	1371	PU3-2C									
1310713193	13107	Puyjalon	2013	13193	Puyjalon	2013	2016	2017	RAS	1371	PU3-2A									
1310713034	13107	Puyjalon	2013	13034	Puyjalon	2013	2016	2017	RAS	1371	PU3-2B									
1317813110	13178	Puyjalon	2013	13110	Puyjalon	2013	2016	2017	RAS	1236	PU3-1C									
1317813193	13178	Puyjalon	2013	13193	Puyjalon	2013	2016	2017	RAS	1236	PU3-1A									
1317813034	13178	Puyjalon	2013	13034	Puyjalon	2013	2016	2017	RAS	1236	PU3-1B									
1410313110	14103	Puyjalon	2014	13110	Puyjalon	2013	2016	2017	RAS	1260	PU3-3C									
1410313193	14103	Puyjalon	2014	13193	Puyjalon	2013	2016	2017	RAS	1260	PU3-3A									
1410313034	14103	Puyjalon	2014	13034	Puyjalon	2013	2016	2017	RAS	1260	PU3-3B									
1302013108	13020	Puyjalon	2013	13108	Puyjalon	2013	2016	2017	RAS	2091	PU4-1B									
1302014163	13020	Puyjalon	2013	14163	Puyjalon	2014	2016	2017	RAS	2091	PU4-1A									
1309513108	13095	Puyjalon	2013	13108	Puyjalon	2013	2016	2017	RAS	967	PU4-3B									
1309514163	13095	Puyjalon	2013	14163	Puyjalon	2014	2016	2017	RAS	967	PU4-3A									
1312013108	13120	Puyjalon	2013	13108	Puyjalon	2013	2016	2017	RAS	2302	PU4-2B									
1312014163	13120	Puyjalon	2013	14163	Puyjalon	2014	2016	2017	RAS	2302	PU4-2A									
1302714136	13027	Puyjalon	2013	14136	Puyjalon	2014	2016	2017	RAS	927	PU5-2A									
1302713130	13027	Puyjalon	2013	13130	Puyjalon	2013	2016	2017	RAS	927	PU5-2B									
1302713031	13027	Puyjalon	2013	13031	Puyjalon	2013	2016	2017	RAS	927	PU5-2C									
1314014136	13140	Puyjalon	2013	14136	Puyjalon	2014	2016	2017	RAS	1588	PU5-3A									
1314013130	13140	Puyjalon	2013	13130	Puyjalon	2013	2016	2017	RAS	1588	PU5-3B									
1314013031	13140	Puyjalon	2013	13031	Puyjalon	2013	2016	2017	RAS	1588	PU5-3C									
1414014136	14140	Puyjalon	2014	14136	Puyjalon	2014	2016	2017	RAS	1613	PU5-1A									
1414013130	14140	Puyjalon	2014	13130	Puyjalon	2013	2016	2017	RAS	1613	PU5-1B									
1414013031	14140	Puyjalon	2014	13031	Puyjalon	2013	2016	2017	RAS	1613	PU5-1C									
1301213024	13012	Puyjalon	2013	13024	Puyjalon	2013	2016	2017	RAS	1690	PU6-2B									
1301213031	13012	Puyjalon	2013	13031	Puyjalon	2013	2016	2017	RAS	1690	PU6-2A									
1314813024	13148	Puyjalon	2013	13024	Puyjalon	2013	2016	2017	RAS	1328	PU6-1B									
1314813031	13148	Puyjalon	2013	13031	Puyjalon	2013	2016	2017	RAS	1328	PU6-1A									
1302813139	13028	Puyjalon	2013	13139	Puyjalon	2013	2016	2017	RAS	1078	PU7-3C									
1302813077	13028	Puyjalon	2013	13077	Puyjalon	2013	2016	2017	RAS	1078	PU7-3B									
1302813018	13028	Puyjalon	2013	13018	Puyjalon	2013	2016	2017	RAS	1078	PU7-3A									
1308513139	13085	Puyjalon	2013	13139	Puyjalon	2013	2016	2017	RAS	1268	PU7-4C									
1308513077	13085	Puyjalon	2013	13077	Puyjalon	2013	2016	2017	RAS	1268	PU7-4B									
1308513018	13085	Puyjalon	2013	13018	Puyjalon	2013	2016	2017	RAS	1268	PU7-4A									
1309013139	13090	Puyjalon	2013	13139	Puyjalon	2013	2016	2017	RAS	857	PU7-2C									
1309013077	13090	Puyjalon	2013	13077	Puyjalon	2013	2016	2017	RAS	857	PU7-2B									
1309013018	13090	Puyjalon	2013	13018	Puyjalon	2013	2016	2017	RAS	857	PU7-2A									
1415713139	14157	Puyjalon	2014	13139	Puyjalon	2013	2016	2017	RAS	732	PU7-1C									
1415713077	14157	Puyjalon	2014	13077	Puyjalon	2013	2016	2017	RAS	732	PU7-1B									
1415713018	14157	Puyjalon	2014	13018	Puyjalon	2013	2016	2017	RAS	732	PU7-1A									
1306113196	13061	Puyjalon	2013	13196	Puyjalon	2013	2016	2017	RAS	2023	PU8-1A									
1306113052	13061	Puyjalon	2013	13052	Puyjalon	2013	2016	2017	RAS	2023	PU8-1B									
1306113121	13061	Puyjalon	2013	13121	Puyjalon	2013	2016	2017	RAS	2023	PU8-1C									
1308213196	13082	Puyjalon	2013	13196	Puyjalon	2013	2016	2017	RAS	1363	PU8-3A									
1308213052	13082	Puyjalon	2013	13052	Puyjalon	2013	2016	2017	RAS	1363	PU8-3B									
1308213121	13082	Puyjalon	2013	13121	Puyjalon	2013	2016	2017	RAS	1363	PU8-3C									
1310913196	13109	Puyjalon	2013	13196	Puyjalon	2013	2016	2017	RAS	1392	PU8-2A									
1310913052	13109	Puyjalon	2013	13052	Puyjalon	2013	2016	2017	RAS	1392	PU8-2B									
1310913121	13109	Puyjalon	2013	13121	Puyjalon	2013	2016	2017	RAS	1392	PU8-2C									
1310113048	13101	Puyjalon	2013	13048	Puyjalon	2013	2016	2017	RAS	597	PU9-2A									
1310113157	13101	Puyjalon	2013	13157	Puyjalon	2013	2016	2017	RAS	597	PU9-2B									
1414113048	14141	Puyjalon	2014	13048	Puyjalon	2013	2016	2017	RAS	253	PU9-1A									
1414113157	14141	Puyjalon	2014	13157	Puyjalon	2013	2016	2017	RAS	253	PU9-1B									
1304313129	13043	Romaine	2013	13129	Romaine	2013	2016	2017	RAS	1701	RO1-1C									
1304313131	13043	Romaine	2013	13131	Romaine	2013	2016	2017	RAS	1701	RO1-1B									
1304313118	13043	Romaine	2013	13118	Romaine	2013	2016	2017	RAS	1701	RO1-1A									
1407413129	14074	Romaine	2014	13129	Romaine	2013	2016	2017	RAS	1940	RO1-2C									
1407413131	14074	Romaine	2014	13131	Romaine	2013	2016	2017	RAS	1940	RO1-2B									
1407413118	14074	Romaine	2014	13118	Romaine	2013	2016	2017	RAS	1940	RO1-2A									
1407613129	14076	Romaine	2014	13129	Romaine	2013	2016	2017	RAS	640	RO1-3C									
1407613131	14076	Romaine	2014	13131	Romaine	2013	2016	2017	RAS	640	RO1-3B									
1407613118	14076	Romaine	2014	13118	Romaine	2013	2016	2017	RAS	640	RO1-3A									
1303513045	13035	Romaine	2013	13045	Romaine	2013	2016	2017	RAS	1424	RO10-2B									
1303513131	13035	Romaine	2013	13131	Romaine	2013	2016	2017	RAS	1424	RO10-2A									
1303513013	13035	Romaine	2013	13013	Romaine	2013	2016	2017	RAS	1424	RO10-2C									
1309413045	13094	Romaine	2013	13045	Romaine	2013	2016	2017	RAS	890	RO10-1B									
1309413131	13094	Romaine	2013	13131	Romaine	2013	2016	2017	RAS	890	RO10-1A									
1309413013	13094	Romaine	2013	13013	Romaine	2013	2016	2017	RAS	890	RO10-1C									
1404313045	14043	Romaine	2014	13045	Romaine	2013	2016	2017	RAS	1050	RO10-3B									
1404313131	14043	Romaine	2014	13131	Romaine	2013	2016	2017	RAS	1050	RO10-3A									
1404313013	14043	Romaine	2014	13013	Romaine	2013	2016	2017	RAS	1050	RO10-3C									
1300313181	13003	Romaine	2013	13181	Romaine	2013	2016	2017	RAS	505	RO11-3C									
1300313080	13003	Romaine	2013	13080	Romaine	2013	2016	2017	RAS	505	RO11-3B									
1300313002	13003	Romaine	2013	13002	Romaine	2013	2016	2017	RAS	505	RO11-3A									
1307613181	13076	Romaine	2013	13181	Romaine	2013	2016	2017	RAS	1222	RO11-1C									
1307613080	13076	Romaine	2013	13080	Romaine	2013	2016	2017	RAS	1222	RO11-1B									
1307613002	13076	Romaine	2013	13002	Romaine	2013	2016	2017	RAS	1222	RO11-1A									
1312513181	13125	Romaine	2013	13181	Romaine	2013	2016	2017	RAS	1554	RO11-2C									
1312513080	13125	Romaine	2013	13080	Romaine	2013	2016	2017	RAS	1554	RO11-2B									
1312513002	13125	Romaine	2013	13002	Romaine	2013	2016	2017	RAS	1554	RO11-2A									
1305413019	13054	Romaine	2013	13019	Romaine	2013	2016	2017	RAS	1581	RO12-2B									
1305414020	13054	Romaine	2013	14020	Romaine	2014	2016	2017	RAS	1581	RO12-2A									
1305413055	13054	Romaine	2013	13055	Romaine	2013	2016	2017	RAS	1581	RO12-2C									
1305613019	13056	Romaine	2013	13019	Romaine	2013	2016	2017	RAS	1769	RO12-3B									
1305614020	13056	Romaine	2013	14020	Romaine	2014	2016	2017	RAS	1769	RO12-3A									
1305613055	13056	Romaine	2013	13055	Romaine	2013	2016	2017	RAS	1769	RO12-3C									
1318013019	13180	Romaine	2013	13019	Romaine	2013	2016	2017	RAS	2172	RO12-1B									
1318014020	13180	Romaine	2013	14020	Romaine	2014	2016	2017	RAS	2172	RO12-1A									
1318013055	13180	Romaine	2013	13055	Romaine	2013	2016	2017	RAS	2172	RO12-1C									
1307413111	13074	Romaine	2013	13111	Romaine	2013	2016	2017	RAS	1238	RO13-3B									
1307413129	13074	Romaine	2013	13129	Romaine	2013	2016	2017	RAS	1238	RO13-3C									
1307413118	13074	Romaine	2013	13118	Romaine	2013	2016	2017	RAS	1238	RO13-3A									
1401313111	14013	Romaine	2014	13111	Romaine	2013	2016	2017	RAS	881	RO13-2B									
1401313129	14013	Romaine	2014	13129	Romaine	2013	2016	2017	RAS	881	RO13-2C									
1401313118	14013	Romaine	2014	13118	Romaine	2013	2016	2017	RAS	881	RO13-2A									
1402513111	14025	Romaine	2014	13111	Romaine	2013	2016	2017	RAS	2195	RO13-1B									
1402513129	14025	Romaine	2014	13129	Romaine	2013	2016	2017	RAS	2195	RO13-1C									
1402513118	14025	Romaine	2014	13118	Romaine	2013	2016	2017	RAS	2195	RO13-1A									
1305913119	13059	Romaine	2013	13119	Romaine	2013	2016	2017	RAS	573	RO14-1A									
1305913190	13059	Romaine	2013	13190	Romaine	2013	2016	2017	RAS	573	RO14-1B									
1305913053	13059	Romaine	2013	13053	Romaine	2013	2016	2017	RAS	573	RO14-1C									
1313813026	13138	Romaine	2013	13026	Romaine	2013	2016	2017	RAS	844	RO15-1C									
1313813190	13138	Romaine	2013	13190	Romaine	2013	2016	2017	RAS	844	RO15-1B									
1313813053	13138	Romaine	2013	13053	Romaine	2013	2016	2017	RAS	844	RO15-1A									
1313813013	13138	Romaine	2013	13013	Romaine	2013	2016	2017	RAS	218	RO16-1A									
1315114099	13151	Romaine	2013	14099	Romaine	2014	2016	2017	RAS	1502	RO2-2C									
1315113119	13151	Romaine	2013	13119	Romaine	2013	2016	2017	RAS	1502	RO2-2A									
1315113013	13151	Romaine	2013	13013	Romaine	2013	2016	2017	RAS	1502	RO2-2B									
1411514099	14115	Romaine	2014	14099	Romaine	2014	2016	2017	RAS	912	RO2-1C									
1411513119	14115	Romaine	2014	13119	Romaine	2013	2016	2017	RAS	912	RO2-1A									
1411513013	14115	Romaine	2014	13013	Romaine	2013	2016	2017	RAS	912	RO2-1B									
1414414099	14144	Romaine	2014	14099	Romaine	2014	2016	2017	RAS	1266	RO2-3C									
1414413119	14144	Romaine	2014	13119	Romaine	2013	2016	2017	RAS	1266	RO2-3A									
1414413013	14144	Romaine	2014	13013	Romaine	2013	2016	2017	RAS	1266	RO2-3B									
1301614128	13016	Romaine	2013	14128	Romaine	2014	2016	2017	RAS	1345	RO3-2B									
1301614034	13016	Romaine	2013	14034	Romaine	2014	2016	2017	RAS	1345	RO3-2A									
1402214128	14022	Romaine	2014	14128	Romaine	2014	2016	2017	RAS	947	RO3-1B									
1402214034	14022	Romaine	2014	14034	Romaine	2014	2016	2017	RAS	947	RO3-1A									
1316313055	13163	Romaine	2013	13055	Romaine	2013	2016	2017	RAS	826	RO4-2B									
1316313002	13163	Romaine	2013	13002	Romaine	2013	2016	2017	RAS	826	RO4-2A									
1316713055	13167	Romaine	2013	13055	Romaine	2013	2016	2017	RAS	1138	RO4-1B									
1316713002	13167	Romaine	2013	13002	Romaine	2013	2016	2017	RAS	1138	RO4-1A									
1300613026	13006	Romaine	2013	13026	Romaine	2013	2016	2017	RAS	1442	RO5-2B									
1300613190	13006	Romaine	2013	13190	Romaine	2013	2016	2017	RAS	1442	RO5-2C									
1300613053	13006	Romaine	2013	13053	Romaine	2013	2016	2017	RAS	1442	RO5-2A									
1308113026	13081	Romaine	2013	13026	Romaine	2013	2016	2017	RAS	2343	RO5-3B									
1308113190	13081	Romaine	2013	13190	Romaine	2013	2016	2017	RAS	2343	RO5-3C									
1308113053	13081	Romaine	2013	13053	Romaine	2013	2016	2017	RAS	2343	RO5-3A									
1309313026	13093	Romaine	2013	13026	Romaine	2013	2016	2017	RAS	1129	RO5-1B									
1309313190	13093	Romaine	2013	13190	Romaine	2013	2016	2017	RAS	1129	RO5-1C									
1309313053	13093	Romaine	2013	13053	Romaine	2013	2016	2017	RAS	1129	RO5-1A									
1301513181	13015	Romaine	2013	13181	Romaine	2013	2016	2017	RAS	1712	RO6-2A									
1301514066	13015	Romaine	2013	14066	Romaine	2014	2016	2017	RAS	1712	RO6-2C									
1301513019	13015	Romaine	2013	13019	Romaine	2013	2016	2017	RAS	1712	RO6-2B									
1316413181	13164	Romaine	2013	13181	Romaine	2013	2016	2017	RAS	1331	RO6-1A									
1316414066	13164	Romaine	2013	14066	Romaine	2014	2016	2017	RAS	1331	RO6-1C									
1316413019	13164	Romaine	2013	13019	Romaine	2013	2016	2017	RAS	1331	RO6-1B									
1403213181	14032	Romaine	2014	13181	Romaine	2013	2016	2017	RAS	1923	RO6-3A									
1403214066	14032	Romaine	2014	14066	Romaine	2014	2016	2017	RAS	1923	RO6-3C									
1403213019	14032	Romaine	2014	13019	Romaine	2013	2016	2017	RAS	1923	RO6-3B									
1309213080	13092	Romaine	2013	13080	Romaine	2013	2016	2017	RAS	1155	RO7-3B									
1309213111	13092	Romaine	2013	13111	Romaine	2013	2016	2017	RAS	1155	RO7-3C									
1309214020	13092	Romaine	2013	14020	Romaine	2014	2016	2017	RAS	1155	RO7-3A									
1311713080	13117	Romaine	2013	13080	Romaine	2013	2016	2017	RAS	3967	RO7-1B									
1311713111	13117	Romaine	2013	13111	Romaine	2013	2016	2017	RAS	3967	RO7-1C									
1311714020	13117	Romaine	2013	14020	Romaine	2014	2016	2017	RAS	3967	RO7-1A									
1317113080	13171	Romaine	2013	13080	Romaine	2013	2016	2017	RAS	1282	RO7-2B									
1317113111	13171	Romaine	2013	13111	Romaine	2013	2016	2017	RAS	1282	RO7-2C									
1317114020	13171	Romaine	2013	14020	Romaine	2014	2016	2017	RAS	1282	RO7-2A									
1309913045	13099	Romaine	2013	13045	Romaine	2013	2016	2017	RAS	2463	RO8-1A									
1309913055	13099	Romaine	2013	13055	Romaine	2013	2016	2017	RAS	2463	RO8-1C									
1309913002	13099	Romaine	2013	13002	Romaine	2013	2016	2017	RAS	2463	RO8-1B									
1314313045	13143	Romaine	2013	13045	Romaine	2013	2016	2017	RAS	853	RO8-2A									
1314313055	13143	Romaine	2013	13055	Romaine	2013	2016	2017	RAS	853	RO8-2C									
1314313002	13143	Romaine	2013	13002	Romaine	2013	2016	2017	RAS	853	RO8-2B									
1316813045	13168	Romaine	2013	13045	Romaine	2013	2016	2017	RAS	2558	RO8-3A									
1316813055	13168	Romaine	2013	13055	Romaine	2013	2016	2017	RAS	2558	RO8-3C									
1316813002	13168	Romaine	2013	13002	Romaine	2013	2016	2017	RAS	2558	RO8-3B									
1307113149	13071	Romaine	2013	13149	Romaine	2013	2016	2017	RAS	1746	RO9-2C									
1307115039	13071	Romaine	2013	15039	Romaine	2015	2016	2017	RAS	1746	RO9-2A									
1307113042	13071	Romaine	2013	13042	Romaine	2013	2016	2017	RAS	1746	RO9-2B									
1308813149	13088	Romaine	2013	13149	Romaine	2013	2016	2017	RAS	1564	RO9-1C									
1308815039	13088	Romaine	2013	15039	Romaine	2015	2016	2017	RAS	1564	RO9-1A									
1308813042	13088	Romaine	2013	13042	Romaine	2013	2016	2017	RAS	1564	RO9-1B									
1319213149	13192	Romaine	2013	13149	Romaine	2013	2016	2017	RAS	1863	RO9-3C									
1319215039	13192	Romaine	2013	15039	Romaine	2015	2016	2017	RAS	1863	RO9-3A									
1319213042	13192	Romaine	2013	13042	Romaine	2013	2016	2017	RAS	1863	RO9-3B									
1309713139	13097	Puyjalon	2013	13139	Puyjalon	2013	2016	2017	RAS	1362	PU12-1A									
1309713110	13097	Puyjalon	2013	13110	Puyjalon	2013	2016	2017	RAS	1362	PU12-1B									
1309713018	13097	Puyjalon	2013	13018	Puyjalon	2013	2016	2017	RAS	1362	PU12-1C									
1307213139	13072	Puyjalon	2013	13139	Puyjalon	2013	2016	2017	RAS	1825	PU12-2A									
1307213110	13072	Puyjalon	2013	13110	Puyjalon	2013	2016	2017	RAS	1825	PU12-2B									
1307213018	13072	Puyjalon	2013	13018	Puyjalon	2013	2016	2017	RAS	1825	PU12-2C									
1317313139	13173	Puyjalon	2013	13139	Puyjalon	2013	2016	2017	RAS	1685	PU12-3A									
1317313110	13173	Puyjalon	2013	13110	Puyjalon	2013	2016	2017	RAS	1685	PU12-3B									
1317313018	13173	Puyjalon	2013	13018	Puyjalon	2013	2016	2017	RAS	1685	PU12-3C									
1410313113	14103	Puyjalon	2014	13113	Puyjalon	2013	2017	2018	RAS	2212	PU10-1B									
1410314132	14103	Puyjalon	2014	14132	Puyjalon	2014	2017	2018	RAS	2212	PU10-1C									
1410913113	14109	Puyjalon	2014	13113	Puyjalon	2013	2017	2018	RAS	1711	PU10-2B									
1410914132	14109	Puyjalon	2014	14132	Puyjalon	2014	2017	2018	RAS	1711	PU10-2C									
1410413113	14104	Puyjalon	2014	13113	Puyjalon	2013	2017	2018	RAS	1916	PU10-3B									
1410414132	14104	Puyjalon	2014	14132	Puyjalon	2014	2017	2018	RAS	1916	PU10-3C									
1502614016	15026	Puyjalon	2015	14016	Puyjalon	2014	2017	2018	RAS	2714	PU11-1A									
1309614016	13096	Puyjalon	2013	14016	Puyjalon	2014	2017	2018	RAS	1776	PU11-2A									
1411313075	14113	Puyjalon	2014	13075	Puyjalon	2013	2017	2018	RAS	1419	PU1-1C									
1407913075	14079	Puyjalon	2014	13075	Puyjalon	2013	2017	2018	RAS	1876	PU12-1A									
1407913150	14079	Puyjalon	2014	13150	Puyjalon	2013	2017	2018	RAS	1876	PU12-1B									
1409213075	14092	Puyjalon	2014	13075	Puyjalon	2013	2017	2018	RAS	3012	PU12-2A									
1409213150	14092	Puyjalon	2014	13150	Puyjalon	2013	2017	2018	RAS	3012	PU12-2B									
1317413075	13174	Puyjalon	2013	13075	Puyjalon	2013	2017	2018	RAS	1178	PU1-2C									
1404814165	14048	Puyjalon	2014	14165	Puyjalon	2014	2017	2018	RAS	563	PU13-1A									
1404814064	14048	Puyjalon	2014	14064	Puyjalon	2014	2017	2018	RAS	563	PU13-1B									
1317414165	13174	Puyjalon	2013	14165	Puyjalon	2014	2017	2018	RAS	589	PU13-2A									
