id	Pop	Year
13026	Romaine	2017
13029	Romaine	2017
13030	Romaine	2017
13035	Romaine	2017
13036	Romaine	2017
13040	Puyjalon	2017
13043	Romaine	2017
13045	Romaine	2017
13047	Romaine	2017
13053	Romaine	2017
13054	Romaine	2017
13056	Romaine	2017
13059	Romaine	2017
13062	Romaine	2017
13065	Romaine	2017
13069	Puyjalon	2017
13071	Romaine	2017
13075	Puyjalon	2017
13081	Romaine	2017
13083	Puyjalon	2017
13088	Romaine	2017
13089	Romaine	2017
13091	Romaine	2017
13092	Romaine	2017
13093	Romaine	2017
13094	Romaine	2017
13096	Puyjalon	2017
13099	Romaine	2017
13103	Romaine	2017
13105	Puyjalon	2017
13111	Romaine	2017
13112	Romaine	2017
13113	Puyjalon	2017
13116	Romaine	2017
13125	Romaine	2017
13126	Romaine	2017
13131	Romaine	2017
13138	Romaine	2017
13143	Romaine	2017
13146	Puyjalon	2017
13149	Romaine	2017
13150	Puyjalon	2017
13151	Romaine	2017
13152	Puyjalon	2017
13154	Romaine	2017
13156	Romaine	2017
13159	Puyjalon	2017
13161	Romaine	2017
13163	Romaine	2017
13164	Romaine	2017
13166	Puyjalon	2017
13167	Romaine	2017
13168	Romaine	2017
13170	Puyjalon	2017
13171	Romaine	2017
13174	Puyjalon	2017
13179	Puyjalon	2017
13180	Romaine	2017
13185	Puyjalon	2017
13186	Puyjalon	2017
13187	Puyjalon	2017
13188	Puyjalon	2017
13191	Puyjalon	2017
13192	Romaine	2017
13195	Puyjalon	2017
14001	Puyjalon	2017
14004	Puyjalon	2017
14006	Romaine	2017
14011	Romaine	2017
14012	Puyjalon	2017
14013	Romaine	2017
14015	Puyjalon	2017
14016	Puyjalon	2017
14019	Puyjalon	2017
14022	Romaine	2017
14025	Romaine	2017
14032	Romaine	2017
14034	Romaine	2017
14036	Romaine	2017
14043	Romaine	2017
14045	Puyjalon	2017
14048	Puyjalon	2017
14050	Puyjalon	2017
14051	Puyjalon	2017
14052	Puyjalon	2017
14053	Puyjalon	2017
14062	Romaine	2017
14063	Puyjalon	2017
14064	Puyjalon	2017
14067	Romaine	2017
14074	Romaine	2017
14075	Romaine	2017
14076	Romaine	2017
14077	Romaine	2017
14079	Puyjalon	2017
14080	Romaine	2017
14085	Puyjalon	2017
14086	Romaine	2017
14092	Puyjalon	2017
14095	Puyjalon	2017
14096	Romaine	2017
14098	Romaine	2017
14099	Romaine	2017
14102	Puyjalon	2017
14103	Puyjalon	2017
14104	Puyjalon	2017
14108	Puyjalon	2017
14109	Puyjalon	2017
14110	Romaine	2017
14111	Romaine	2017
14113	Puyjalon	2017
14115	Romaine	2017
14116	Puyjalon	2017
14117	Puyjalon	2017
14122	Romaine	2017
14123	Puyjalon	2017
14125	Romaine	2017
14127	Puyjalon	2017
14129	Puyjalon	2017
14132	Puyjalon	2017
14133	Romaine	2017
14134	Romaine	2017
14140	Puyjalon	2017
14141	Puyjalon	2017
14147	Romaine	2017
14149	Puyjalon	2017
14153	Puyjalon	2017
14154	Puyjalon	2017
14157	Puyjalon	2017
14161	Romaine	2017
14165	Puyjalon	2017
14166	Puyjalon	2017
14167	Puyjalon	2017
15021	Romaine	2017
15026	Puyjalon	2017
15028	Romaine	2017
15032	Romaine	2017
15033	Romaine	2017
15034	Puyjalon	2017
15035	Romaine	2017
13011	Romaine	2018
13013	Romaine	2018
13016	Romaine	2018
13029	Romaine	2018
13036	Romaine	2018
13041	Puyjalon	2018
13043	Romaine	2018
13047	Romaine	2018
13052	Puyjalon	2018
13054	Romaine	2018
13059	Romaine	2018
13064	Puyjalon	2018
13065	Romaine	2018
13066	Romaine	2018
13069	Puyjalon	2018
13070	Romaine	2018
13076	Romaine	2018
13086	Puyjalon	2018
13088	Romaine	2018
13091	Romaine	2018
13093	Romaine	2018
13094	Romaine	2018
13098	Puyjalon	2018
13103	Romaine	2018
13105	Puyjalon	2018
13112	Romaine	2018
13113	Puyjalon	2018
13118	Romaine	2018
13119	Romaine	2018
13121	Puyjalon	2018
13123	Puyjalon	2018
13130	Puyjalon	2018
13154	Romaine	2018
13156	Romaine	2018
13159	Puyjalon	2018
13161	Romaine	2018
13162	Puyjalon	2018
13163	Romaine	2018
13164	Romaine	2018
13167	Romaine	2018
13168	Romaine	2018
13187	Puyjalon	2018
13192	Romaine	2018
13193	Puyjalon	2018
13196	Puyjalon	2018
14001	Puyjalon	2018
14002	Puyjalon	2018
14004	Puyjalon	2018
14005	Puyjalon	2018
14009	Puyjalon	2018
14011	Romaine	2018
14015	Puyjalon	2018
14020	Romaine	2018
14021	Puyjalon	2018
14022	Romaine	2018
14026	Puyjalon	2018
14029	Puyjalon	2018
14032	Romaine	2018
14034	Romaine	2018
14035	Romaine	2018
14036	Romaine	2018
14043	Romaine	2018
14047	Puyjalon	2018
14049	Puyjalon	2018
14050	Puyjalon	2018
14051	Puyjalon	2018
14052	Puyjalon	2018
14054	Romaine	2018
14062	Romaine	2018
14063	Puyjalon	2018
14065	Puyjalon	2018
14066	Romaine	2018
14067	Romaine	2018
14074	Romaine	2018
14075	Romaine	2018
14076	Romaine	2018
14077	Romaine	2018
14078	Puyjalon	2018
14079	Puyjalon	2018
14080	Romaine	2018
14083	Puyjalon	2018
14086	Romaine	2018
14087	Puyjalon	2018
14088	Romaine	2018
14091	Puyjalon	2018
14092	Puyjalon	2018
14094	Puyjalon	2018
14096	Romaine	2018
14098	Romaine	2018
14101	Puyjalon	2018
14102	Puyjalon	2018
14104	Puyjalon	2018
14106	Puyjalon	2018
14110	Romaine	2018
14111	Romaine	2018
14114	Puyjalon	2018
14122	Romaine	2018
14128	Romaine	2018
14131	Puyjalon	2018
14133	Romaine	2018
14134	Romaine	2018
14136	Puyjalon	2018
14138	Puyjalon	2018
14139	Puyjalon	2018
14142	Puyjalon	2018
14147	Romaine	2018
14148	Romaine	2018
14150	Puyjalon	2018
14151	Puyjalon	2018
14154	Puyjalon	2018
14156	Puyjalon	2018
14158	Puyjalon	2018
14161	Romaine	2018
14163	Puyjalon	2018
14166	Puyjalon	2018
15022	Puyjalon	2018
15023	Puyjalon	2018
15026	Puyjalon	2018
15028	Romaine	2018
15032	Romaine	2018
15038	Puyjalon	2018
15039	Romaine	2018
13006	Romaine	2019
13013	Romaine	2019
13019	Romaine	2019
13024	Puyjalon	2019
13026	Romaine	2019
13029	Romaine	2019
13030	Romaine	2019
13031	Puyjalon	2019
13035	Romaine	2019
13036	Romaine	2019
13045	Romaine	2019
13053	Romaine	2019
13054	Romaine	2019
13056	Romaine	2019
13059	Romaine	2019
13065	Romaine	2019
13066	Romaine	2019
13070	Romaine	2019
13080	Romaine	2019
13081	Romaine	2019
13083	Puyjalon	2019
13089	Romaine	2019
13091	Romaine	2019
13092	Romaine	2019
13093	Romaine	2019
13094	Romaine	2019
13099	Romaine	2019
13103	Romaine	2019
13105	Puyjalon	2019
13108	Puyjalon	2019
13110	Puyjalon	2019
13111	Romaine	2019
13123	Puyjalon	2019
13125	Romaine	2019
13126	Romaine	2019
13143	Romaine	2019
13151	Romaine	2019
13156	Romaine	2019
13161	Romaine	2019
13163	Romaine	2019
13164	Romaine	2019
13167	Romaine	2019
13168	Romaine	2019
13171	Romaine	2019
13179	Puyjalon	2019
13180	Romaine	2019
13181	Romaine	2019
13192	Romaine	2019
14002	Puyjalon	2019
14004	Puyjalon	2019
14009	Puyjalon	2019
14011	Romaine	2019
14012	Puyjalon	2019
14013	Romaine	2019
14015	Puyjalon	2019
14016	Puyjalon	2019
14019	Puyjalon	2019
14021	Puyjalon	2019
14022	Romaine	2019
14030	Puyjalon	2019
14032	Romaine	2019
14033	Puyjalon	2019
14034	Romaine	2019
14036	Romaine	2019
14043	Romaine	2019
14045	Puyjalon	2019
14050	Puyjalon	2019
14051	Puyjalon	2019
14052	Puyjalon	2019
14053	Puyjalon	2019
14054	Romaine	2019
14059	Romaine	2019
14062	Romaine	2019
14063	Puyjalon	2019
14064	Puyjalon	2019
14066	Romaine	2019
14067	Romaine	2019
14074	Romaine	2019
14076	Romaine	2019
14077	Romaine	2019
14078	Puyjalon	2019
14079	Puyjalon	2019
14088	Romaine	2019
14092	Puyjalon	2019
14095	Puyjalon	2019
14096	Romaine	2019
14098	Romaine	2019
14099	Romaine	2019
14103	Puyjalon	2019
14104	Puyjalon	2019
14108	Puyjalon	2019
14110	Romaine	2019
14111	Romaine	2019
14114	Puyjalon	2019
14115	Romaine	2019
14118	Romaine	2019
14122	Romaine	2019
14123	Puyjalon	2019
14127	Puyjalon	2019
14128	Romaine	2019
14133	Romaine	2019
14139	Puyjalon	2019
14140	Puyjalon	2019
14141	Puyjalon	2019
14147	Romaine	2019
14148	Romaine	2019
14150	Puyjalon	2019
14153	Puyjalon	2019
14154	Puyjalon	2019
14156	Puyjalon	2019
14167	Puyjalon	2019
15023	Puyjalon	2019
15026	Puyjalon	2019
15028	Romaine	2019
15032	Romaine	2019
15033	Romaine	2019
15034	Puyjalon	2019
15035	Romaine	2019
15038	Puyjalon	2019
15039	Romaine	2019
17205	Puyjalon	2019
17207	Puyjalon	2019
13075	Puyjalon	2020
13076	Romaine	2020
13077	Puyjalon	2020
13083	Puyjalon	2020
13091	Romaine	2020
13112	Romaine	2020
13139	Puyjalon	2020
13150	Puyjalon	2020
14002	Puyjalon	2020
14005	Puyjalon	2020
14009	Puyjalon	2020
14015	Puyjalon	2020
14021	Puyjalon	2020
14029	Puyjalon	2020
14050	Puyjalon	2020
14062	Romaine	2020
14063	Puyjalon	2020
14067	Romaine	2020
14080	Romaine	2020
14083	Puyjalon	2020
14087	Puyjalon	2020
14088	Romaine	2020
14091	Puyjalon	2020
14096	Romaine	2020
14101	Puyjalon	2020
14104	Puyjalon	2020
14108	Puyjalon	2020
14114	Puyjalon	2020
14122	Romaine	2020
14123	Puyjalon	2020
14131	Puyjalon	2020
14133	Romaine	2020
14134	Romaine	2020
14138	Puyjalon	2020
14139	Puyjalon	2020
14148	Romaine	2020
14149	Puyjalon	2020
14150	Puyjalon	2020
14154	Puyjalon	2020
14159	Puyjalon	2020
14161	Romaine	2020
14165	Puyjalon	2020
15023	Puyjalon	2020
15026	Puyjalon	2020
15028	Romaine	2020
15032	Romaine	2020
15033	Romaine	2020
15039	Romaine	2020
17201	Puyjalon	2020
17202	Puyjalon	2020
17203	Puyjalon	2020
17205	Puyjalon	2020
17210	Puyjalon	2020
17213	Puyjalon	2020
19039	Romaine	2020
19050	Romaine	2020
19T13	Romaine	2020
19T15	Romaine	2020
19T19	Romaine	2020
13011	Romaine	2021
13034	Puyjalon	2021
13066	Romaine	2021
13070	Romaine	2021
13187	Puyjalon	2021
14019	Puyjalon	2021
14026	Puyjalon	2021
14033	Puyjalon	2021
14087	Puyjalon	2021
14129	Puyjalon	2021
14148	Romaine	2021
14167	Puyjalon	2021
15034	Puyjalon	2021
17201	Puyjalon	2021
17202	Puyjalon	2021
17204	Puyjalon	2021
17205	Puyjalon	2021
17206	Puyjalon	2021
17211	Puyjalon	2021
17212	Puyjalon	2021
17213	Puyjalon	2021
18001	Romaine	2021
18002	Romaine	2021
19042	Puyjalon	2021
19053	Puyjalon	2021
19054	Puyjalon	2021
19060	Puyjalon	2021
19064	Romaine	2021
19T01	Romaine	2021
19T04	Romaine	2021
19T07	Romaine	2021
19T08	Romaine	2021
19T09	Romaine	2021
19T10	Romaine	2021
19T11	Romaine	2021
19T12	Romaine	2021
19T15	Romaine	2021
19T16	Romaine	2021
19T17	Romaine	2021
19T18	Romaine	2021
19T22	Romaine	2021
19T23	Romaine	2021
19T24	Romaine	2021
19T26	Romaine	2021
19T28	Romaine	2021
19T30	Romaine	2021
20036	Romaine	2021
20039	Puyjalon	2021
20049	Puyjalon	2021
20060	Puyjalon	2021
20T07	Romaine	2021
13018	Puyjalon	2022
13066	Romaine	2022
13123	Puyjalon	2022
14091	Puyjalon	2022
14102	Puyjalon	2022
14132	Puyjalon	2022
14151	Puyjalon	2022
14156	Puyjalon	2022
15038	Puyjalon	2022
17203	Puyjalon	2022
18001	Romaine	2022
19034	Puyjalon	2022
19036	Puyjalon	2022
19038	Puyjalon	2022
19039	Romaine	2022
19040	Puyjalon	2022
19041	Puyjalon	2022
19044	Puyjalon	2022
19050	Romaine	2022
19051	Puyjalon	2022
19053	Puyjalon	2022
19054	Puyjalon	2022
19055	Puyjalon	2022
19060	Puyjalon	2022
19064	Romaine	2022
19066	Puyjalon	2022
19T01	Romaine	2022
19T07	Romaine	2022
19T09	Romaine	2022
19T10	Romaine	2022
19T12	Romaine	2022
19T13	Romaine	2022
19T18	Romaine	2022
19T19	Romaine	2022
19T23	Romaine	2022
19T26	Romaine	2022
20020	Puyjalon	2022
20023	Puyjalon	2022
20024	Romaine	2022
20032	Puyjalon	2022
20034	Puyjalon	2022
20040	Puyjalon	2022
20042	Romaine	2022
20044	Puyjalon	2022
20049	Puyjalon	2022
20053	Puyjalon	2022
20060	Puyjalon	2022
20061	Puyjalon	2022
20062	Puyjalon	2022
20063	Puyjalon	2022
20068	Puyjalon	2022
20076	Puyjalon	2022
20078	Puyjalon	2022
20079	Puyjalon	2022
20080	Romaine	2022
20081	Puyjalon	2022
20085	Romaine	2022
20087	Puyjalon	2022
20095	Puyjalon	2022
20100	Romaine	2022
20101	Puyjalon	2022
20102	Puyjalon	2022
20T02	Romaine	2022
20T03	Romaine	2022
20T04	Romaine	2022
20T05	Romaine	2022
20T06	Romaine	2022
20T08	Romaine	2022
20T09	Romaine	2022
20T11	Romaine	2022
20T12	Romaine	2022
20T13	Romaine	2022
20T14	Romaine	2022
20T15	Romaine	2022
20T18	Romaine	2022
13149	Romaine	2023
14167	Puyjalon	2023
18001	Romaine	2023
18002	Romaine	2023
19035	Puyjalon	2023
19036	Puyjalon	2023
19038	Puyjalon	2023
19039	Romaine	2023
19042	Puyjalon	2023
19044	Puyjalon	2023
19047	Puyjalon	2023
19050	Romaine	2023
19051	Puyjalon	2023
19052	Puyjalon	2023
19053	Puyjalon	2023
19054	Puyjalon	2023
19057	Puyjalon	2023
19062	Romaine	2023
19064	Romaine	2023
19065	Puyjalon	2023
19066	Puyjalon	2023
19T01	Romaine	2023
19T04	Romaine	2023
19T07	Romaine	2023
19T08	Romaine	2023
19T09	Romaine	2023
19T10	Romaine	2023
19T11	Romaine	2023
19T16	Romaine	2023
19T17	Romaine	2023
19T18	Romaine	2023
19T21	Romaine	2023
19T22	Romaine	2023
19T24	Romaine	2023
19T30	Romaine	2023
20021	Puyjalon	2023
20029	Puyjalon	2023
20036	Romaine	2023
20038	Puyjalon	2023
20039	Puyjalon	2023
20042	Romaine	2023
20043	Puyjalon	2023
20044	Puyjalon	2023
20045	Puyjalon	2023
20048	Puyjalon	2023
20051	Puyjalon	2023
20052	Puyjalon	2023
20060	Puyjalon	2023
20061	Puyjalon	2023
20062	Puyjalon	2023
20068	Puyjalon	2023
20080	Romaine	2023
20082	Puyjalon	2023
20085	Romaine	2023
20087	Puyjalon	2023
20099	Puyjalon	2023
20101	Puyjalon	2023
20102	Puyjalon	2023
20T04	Romaine	2023
20T06	Romaine	2023
20T07	Romaine	2023
20T09	Romaine	2023
20T13	Romaine	2023
20T15	Romaine	2023
20T16	Romaine	2023
20T18	Romaine	2023
21046	Puyjalon	2023
21051	Romaine	2023
21052	Puyjalon	2023
21053	Puyjalon	2023
21058	Romaine	2023
21071	Puyjalon	2023
21082	Puyjalon	2023
21091	Romaine	2023
21093	Romaine	2023
21099	Puyjalon	2023
21114	Romaine	2023
21118	Romaine	2023
21121	Puyjalon	2023
21125	Puyjalon	2023
21128	Puyjalon	2023
21129	Puyjalon	2023
21138	Romaine	2023
21142	Puyjalon	2023
21144	Puyjalon	2023
21T05	Romaine	2023
21T16	Puyjalon	2023
21T28	Romaine	2023
22T45	Romaine	2023
22T50	Romaine	2023
