Ne																																																																																		
npops = 14																																																																																		
nloci = 41																																																																																		
																																																																																		
	NGS-SSsp2210		NGS-SsaD486		Ssa-1.7		Ssa-10.1		Ssa-10.2		Ssa-11.2		Ssa-11.3		Ssa-11.5		Ssa-11.8		Ssa-12.5		Ssa-13.8		Ssa-14.2		Ssa-14.3		Ssa-14.5		Ssa-14.6		Ssa-14.8		Ssa-15.1		Ssa-15.3		Ssa-15.7		Ssa-17.1		Ssa-18.7		Ssa-19.1		Ssa-19.2		Ssa-19.3		Ssa-2.1		Ssa-2.2		Ssa-2.7		Ssa-20.2		Ssa-21.2		Ssa-22.2		Ssa-22.9		Ssa-22.d31		Ssa-25.11		Ssa-25.2		Ssa-26.1		Ssa-4.d44		Ssa-5.2		Ssa-6.2		Ssa-7.12		Ssa-9.3		Ssa-9.8	
17R0348	45	45	40	40	55	55	28	40	51	54	49	49	54	54	37	46	73	73	69	72	42	42	42	54	64	64	21	36	42	42	60	66	46	49	53	53	64	79	46	55	68	71	56	62	38	38	49	55	34	34	35	41	16	37	39	39	60	78	56	56	61	64	50	50	39	39	42	42	33	33	35	37	49	49	40	46	30	45	37	40	31	37
17R0351	37	45	40	44	49	55	40	40	51	51	43	73	54	63	37	46	64	73	69	69	42	42	42	54	64	64	21	36	42	45	60	60	43	49	53	62	64	79	55	64	71	71	56	83	38	38	55	55	28	34	35	35	43	43	42	45	60	78	59	59	64	64	50	54	39	39	36	42	33	57	35	35	43	49	40	46	45	45	37	37	34	37
17R0353	37	45	32	40	52	58	37	40	48	51	43	49	54	63	37	49	73	73	69	69	42	42	42	54	64	64	36	36	42	45	60	60	43	43	53	59	61	64	46	64	68	71	56	62	38	41	52	55	28	34	35	35	43	43	42	42	60	75	59	80	64	70	50	50	39	39	36	42	33	33	35	37	49	49	40	46	30	45	37	37	31	37
17R0386	25	49	40	40	49	55	37	40	48	48	43	73	54	63	37	46	64	73	69	69	42	42	42	54	64	70	36	39	42	45	60	63	43	49	53	62	64	79	64	64	68	71	56	62	38	41	49	55	34	34	35	35	43	43	45	45	60	78	80	80	64	64	54	56	39	39	36	42	33	57	35	35	49	49	40	46	45	45	37	40	34	34
17R0417	45	49	36	52	49	55	40	40	51	51	49	73	54	57	37	46	73	73	69	72	42	42	42	54	64	64	36	36	42	45	60	69	46	49	53	53	64	79	43	64	68	68	56	56	38	41	55	55	34	34	35	38	37	43	39	48	78	78	71	71	61	67	50	50	39	39	42	51	33	57	35	37	43	49	46	46	45	45	37	46	34	37
17R0418	25	49	36	44	49	49	37	40	48	51	49	58	54	63	37	46	73	73	69	69	42	42	42	42	64	64	21	36	42	45	60	60	46	49	53	53	70	79	43	55	68	68	56	56	38	41	49	55	34	34	35	38	43	46	39	42	78	78	80	80	64	64	50	56	39	39	42	51	33	33	35	35	49	49	40	46	45	45	37	46	34	37
17R0419	45	45	36	40	49	55	37	40	51	51	49	73	54	57	37	37	73	73	69	72	42	48	42	54	64	64	36	36	42	45	60	69	46	49	53	59	64	73	43	64	68	77	56	56	38	41	52	55	34	34	35	35	37	37	39	39	78	78	71	71	61	67	50	50	39	39	42	51	33	57	35	35	49	49	46	46	30	45	37	37	31	37
17R0421	25	45	32	44	49	55	40	40	51	51	73	73	54	57	37	46	64	73	69	69	42	42	42	42	64	70	36	39	45	45	63	69	46	49	53	62	79	79	43	55	68	71	56	56	38	38	52	55	34	34	35	35	37	43	39	42	78	78	80	80	64	64	50	56	39	39	42	51	57	57	35	39	49	49	40	46	30	45	37	37	34	37
17R0425	25	49	40	44	49	49	37	40	51	51	49	73	54	63	37	37	73	73	69	69	42	48	42	54	64	70	39	39	45	45	63	66	43	49	62	62	64	79	55	64	68	68	56	56	41	41	49	55	34	34	35	44	43	43	42	42	78	78	59	59	64	64	50	56	39	39	42	48	33	33	37	39	49	49	40	46	30	45	37	46	31	34
pop = 2016PU																																																																																		
19R178	37	45	36	40	49	49	28	28	51	51	73	73	54	63	37	37	64	64	69	69	42	42	42	42	64	64	36	39	45	45	66	81	43	46	53	68	73	73	43	46	68	68	62	80	38	38	52	55	28	34	35	41	37	43	39	48	60	78	71	71	64	64	50	54	39	39	42	51	33	54	35	39	49	49	46	46	30	30	37	46	31	37
19R358	45	49	40	40	49	55	40	43	51	51	49	73	57	63	37	37	73	73	69	69	42	42	42	54	64	64	36	39	45	45	60	66	43	49	53	62	67	79	64	64	68	71	56	62	38	38	55	55	34	34	35	41	43	43	42	42	60	60	71	71	64	64	50	54	39	39	42	51	33	48	35	35	49	49	46	46	30	30	37	40	31	37
19R459	45	49	32	40	49	58	37	37	48	51	73	73	54	63	37	37	64	73	69	69	42	42	42	54	64	64	?	?	42	45	57	66	43	43	53	65	73	73	46	46	68	71	56	80	38	41	52	55	34	34	35	41	37	43	39	48	78	78	59	71	?	?	50	54	39	39	42	48	33	54	39	39	43	43	46	46	?	?	37	46	31	37
pop = 2017PU																																																																																		
19R001	25	25	32	32	55	55	37	37	48	51	43	58	51	66	37	37	73	73	69	69	42	42	60	60	64	64	21	36	42	45	60	69	46	46	49	53	64	73	46	64	68	77	59	62	38	41	52	52	28	37	35	35	43	46	42	45	78	78	65	71	64	64	50	50	39	39	36	42	33	48	37	37	49	49	40	46	45	45	37	46	31	34
19R017	25	41	40	56	52	55	37	43	48	48	49	73	54	57	37	37	64	73	69	69	42	42	42	54	64	64	39	39	45	45	66	66	46	46	49	53	73	73	55	58	71	77	56	56	41	41	52	55	28	34	35	41	34	43	39	42	78	78	71	71	64	64	50	50	39	39	36	51	33	54	37	37	49	49	40	46	45	51	37	37	34	37
19R023	25	45	32	40	52	55	28	40	51	51	73	73	54	63	37	46	64	73	69	69	42	48	42	60	64	64	36	39	45	45	66	69	49	49	53	65	64	64	46	64	71	71	56	56	38	41	55	55	34	34	35	41	34	43	42	42	78	78	59	80	64	64	50	50	39	39	42	42	33	33	35	39	43	49	40	40	30	45	46	46	31	34
19R025	25	45	32	40	49	55	28	37	48	51	49	73	54	63	37	37	73	73	63	63	42	48	42	54	64	64	36	39	42	45	60	66	43	49	53	53	64	79	46	46	68	77	56	56	38	41	49	55	34	34	35	44	37	37	42	45	60	60	59	65	64	67	50	54	39	48	42	42	33	48	35	39	43	43	46	46	36	45	37	46	37	37
19R029	45	45	36	40	49	52	28	40	51	51	43	58	51	54	37	46	73	76	63	69	42	42	54	60	64	64	36	39	42	45	63	66	43	49	53	62	61	67	46	46	71	71	56	80	38	41	49	55	34	37	35	41	16	16	39	42	60	75	71	80	64	64	50	56	39	48	42	42	33	57	35	39	49	49	40	46	51	51	40	40	31	31
19R041	25	65	40	40	52	52	37	40	51	51	58	58	54	63	37	46	64	64	69	69	42	42	42	54	64	67	36	36	42	42	60	60	43	46	53	59	73	73	46	46	71	71	56	56	38	38	49	52	34	34	41	44	34	43	42	42	60	78	80	83	64	64	50	50	39	39	42	51	57	60	35	37	49	49	40	46	30	30	40	40	34	37
19R051	25	25	36	40	55	55	37	37	48	51	73	73	54	63	37	46	64	73	69	69	42	48	42	54	64	64	36	39	42	45	60	66	43	49	53	62	73	79	46	46	68	71	56	56	38	41	52	55	28	34	35	35	43	43	42	42	78	78	56	59	61	64	50	50	39	39	42	42	54	57	35	39	49	49	40	40	30	45	37	46	31	34
19R062	41	45	36	56	46	46	37	40	48	51	58	58	57	63	46	49	73	73	60	69	42	42	42	54	64	70	24	39	42	45	54	66	46	46	65	65	61	73	64	67	59	71	56	62	38	41	52	55	34	34	35	44	37	46	42	45	78	84	80	80	61	70	50	50	39	57	36	42	33	33	35	37	49	49	40	46	36	45	37	37	34	34
19R066	25	49	32	32	55	55	37	37	48	51	49	73	54	63	37	37	73	73	63	69	42	48	42	54	64	64	36	39	42	42	66	66	43	49	53	53	79	79	46	58	68	71	56	83	38	38	55	55	34	34	35	44	37	46	39	42	60	78	59	65	64	67	50	54	39	39	42	51	33	48	35	35	43	43	46	46	30	30	40	46	31	34
19R108	45	45	40	40	49	55	40	43	51	51	58	73	54	57	37	49	73	73	63	63	42	42	42	54	64	67	36	36	45	45	57	60	46	46	53	62	73	73	46	64	68	71	62	80	38	38	52	55	34	34	35	41	16	34	39	42	78	78	56	59	58	61	50	50	39	39	42	42	48	54	37	39	43	49	40	46	45	45	40	46	31	34
19R168	45	49	40	40	49	55	40	43	51	51	49	73	54	63	37	46	64	73	69	69	42	42	42	42	64	64	36	39	45	45	57	66	43	49	53	62	73	79	46	64	71	71	56	62	38	41	55	55	34	34	35	41	16	34	39	39	?	?	71	80	64	64	50	54	39	39	42	42	33	54	35	35	49	49	40	46	30	45	40	46	31	37
19R171	25	45	40	40	49	55	28	43	51	51	49	73	54	63	37	46	64	73	69	69	42	42	42	54	64	64	36	36	42	45	57	60	43	49	53	65	73	79	46	64	68	71	56	62	38	41	55	55	34	34	35	41	16	34	39	42	60	81	59	65	64	70	50	54	39	39	42	42	33	54	35	35	49	49	40	46	30	30	40	40	31	37
19R204	25	45	40	40	49	55	40	43	51	51	49	58	54	63	46	46	73	73	69	69	42	42	42	42	64	64	36	39	45	45	57	66	43	49	53	65	73	79	46	64	68	71	56	62	38	41	55	55	34	34	35	35	16	37	39	39	60	60	59	71	64	64	50	54	39	39	42	42	33	33	35	39	49	49	40	46	30	30	40	46	31	37
19R206	25	45	40	40	49	55	37	40	45	45	43	58	51	66	37	46	73	73	69	69	42	42	54	60	64	64	21	39	42	45	60	66	46	46	53	65	64	73	55	64	68	71	59	62	38	41	52	55	34	37	35	35	34	37	42	42	60	78	65	80	64	64	50	50	39	39	42	42	33	57	39	39	49	49	46	46	30	45	37	46	31	34
19R218	45	49	36	56	52	55	28	40	51	51	58	73	54	57	37	46	73	73	69	69	42	42	42	42	64	70	36	39	42	45	66	69	43	49	56	65	73	79	46	64	71	77	56	56	38	38	52	52	34	37	41	44	16	46	42	42	78	81	80	80	64	70	50	56	39	48	36	42	33	33	35	35	43	49	46	46	30	45	37	40	31	34
19R231	45	49	32	32	49	55	28	37	51	51	49	73	54	57	37	37	73	73	69	69	42	42	42	54	64	70	36	36	42	45	57	66	49	49	53	62	61	64	46	46	71	77	56	62	38	38	55	55	28	34	35	38	37	43	?	?	60	75	56	59	58	64	54	54	39	39	42	42	33	48	35	39	43	49	40	46	45	51	37	40	31	37
19R241	41	45	40	56	55	58	28	43	51	57	49	58	51	54	46	46	73	73	69	69	42	48	54	54	64	64	36	39	45	45	66	81	43	49	62	62	79	79	43	46	68	71	56	56	41	41	49	52	34	37	35	41	16	37	42	42	60	75	59	80	64	64	50	56	39	48	42	42	33	33	35	35	49	49	40	46	30	45	40	40	31	31
19R246	45	45	32	32	52	52	28	43	51	51	73	73	54	63	37	46	73	73	69	69	42	48	42	42	67	70	36	39	45	45	57	66	43	49	53	53	64	64	46	55	68	71	56	56	41	41	55	55	34	34	35	41	34	37	42	42	60	78	80	80	64	64	50	50	39	39	42	57	33	48	35	37	43	49	40	46	30	30	46	46	31	31
19R257	41	45	40	56	49	55	40	43	45	51	49	58	51	54	46	46	73	73	69	69	42	48	42	54	64	67	36	36	45	45	57	81	49	49	53	53	64	64	43	46	71	71	56	56	41	41	52	52	34	34	35	35	37	37	?	?	78	78	59	65	64	64	50	50	39	39	42	42	33	57	39	39	49	49	40	46	30	30	37	40	31	34
19R259	25	49	36	40	52	55	37	43	51	51	73	73	63	63	37	37	64	73	69	72	42	42	42	54	64	67	36	36	42	45	60	69	49	49	53	62	67	79	46	46	68	68	56	56	41	41	52	55	34	34	35	35	16	34	39	42	60	75	71	80	61	64	54	54	39	39	42	42	33	33	35	35	49	49	40	46	30	45	37	46	31	34
19R289	49	49	40	56	49	52	28	40	51	54	73	73	57	63	37	46	64	64	69	69	42	42	42	54	64	64	36	39	42	45	60	66	43	43	53	65	64	73	64	64	68	71	56	62	38	38	52	55	34	34	35	35	16	37	39	39	78	81	65	71	64	64	54	56	39	48	42	42	54	57	35	39	49	49	46	46	45	45	37	40	34	37
19R293	25	49	40	52	52	52	37	40	51	51	43	73	54	63	46	46	64	73	69	69	42	42	42	42	64	64	36	39	42	45	66	69	43	49	53	68	64	67	46	46	68	68	56	62	38	38	52	55	34	37	35	41	16	34	42	42	60	75	71	80	61	64	50	54	39	39	42	45	33	57	37	37	49	49	46	46	45	45	40	40	31	34
19R298	49	65	40	52	55	55	37	40	48	51	49	49	54	54	37	46	73	73	69	69	42	42	54	54	64	70	39	39	45	45	66	69	46	46	53	53	73	73	46	46	71	71	56	62	38	38	49	55	28	34	35	41	16	34	42	42	60	78	56	71	61	64	50	50	39	39	42	42	33	33	37	39	43	49	40	46	36	45	37	40	31	31
19R308	45	49	32	40	49	55	40	40	51	51	49	49	54	57	37	46	73	73	69	69	42	42	54	54	67	70	36	39	42	45	60	63	43	43	62	62	61	79	46	55	68	71	56	62	38	38	55	55	34	34	35	38	43	43	42	42	78	78	59	59	64	64	50	54	48	48	36	42	33	33	35	37	43	49	40	46	45	45	37	40	31	34
19R314	25	49	40	56	49	52	28	40	51	51	58	73	57	63	37	46	73	73	69	69	42	42	54	54	64	64	24	36	42	42	54	60	43	43	53	65	64	73	64	64	68	68	56	62	38	38	49	52	34	34	35	35	16	37	42	45	78	81	65	71	64	64	54	56	39	39	36	42	33	57	35	37	49	49	40	46	30	45	37	40	34	37
19R349	45	45	40	56	52	55	37	37	48	51	58	73	51	54	46	46	73	73	69	69	42	42	54	60	64	67	36	39	42	45	60	66	43	49	62	62	61	79	55	64	68	71	56	56	38	41	49	52	34	34	35	38	37	43	39	39	60	75	71	80	58	64	50	54	39	39	42	51	33	57	35	39	49	49	46	46	30	45	37	40	31	34
19R355	49	49	40	56	49	55	28	40	51	54	49	73	54	63	37	46	64	73	69	69	42	42	54	54	64	64	24	36	42	42	54	60	43	49	53	65	73	73	64	64	68	77	62	62	38	38	52	55	34	34	35	35	34	37	39	39	60	60	65	71	64	64	50	54	39	48	42	42	33	54	37	39	49	49	46	46	45	45	37	40	34	34
19R361	25	45	32	56	55	58	37	40	48	57	49	73	54	57	46	46	64	73	69	69	42	48	54	60	64	70	36	36	45	45	69	69	46	49	49	62	73	79	43	55	71	71	56	56	41	41	52	52	28	34	35	35	37	43	39	45	78	81	59	65	64	67	50	50	39	39	36	42	33	54	35	35	49	49	40	46	30	51	37	37	31	31
19R369	25	45	40	52	49	49	28	28	51	51	58	58	51	63	37	46	73	73	69	69	42	42	42	54	64	70	39	39	42	45	63	66	43	46	53	53	73	79	55	64	71	77	62	62	38	38	55	55	28	34	35	35	34	37	?	?	78	81	65	80	67	70	54	56	39	39	36	42	33	57	35	39	49	49	40	40	30	45	37	40	34	34
19R374	25	45	40	56	49	52	28	28	51	54	58	73	57	63	46	46	64	73	69	69	42	42	42	54	64	64	36	39	42	45	60	66	43	43	53	65	73	73	64	64	68	71	56	62	38	38	49	52	34	34	35	35	16	37	39	39	60	81	65	71	64	64	54	56	39	48	42	42	33	57	35	37	49	49	46	46	30	45	37	40	34	37
19R409	41	45	36	56	46	46	40	43	51	51	58	58	57	63	37	46	73	73	60	69	42	45	42	54	64	70	24	39	42	42	54	66	49	49	53	62	55	79	64	67	59	71	56	56	38	41	52	55	28	34	35	35	37	37	39	39	78	84	80	80	61	70	50	50	39	57	42	42	33	33	37	37	43	49	46	46	36	45	37	37	31	34
19R634	45	45	32	40	52	55	37	40	48	51	43	73	54	63	37	37	64	73	69	69	42	42	42	60	64	64	36	36	42	45	60	69	49	49	53	62	64	64	64	64	71	71	56	62	38	41	52	55	34	34	41	41	34	34	42	42	75	78	56	65	58	61	50	54	39	39	42	42	33	48	35	37	43	49	40	46	45	45	37	37	31	31
19R786	25	45	40	52	55	55	28	40	51	51	43	49	54	54	46	49	73	73	69	69	?	?	42	54	64	64	36	39	45	45	66	69	49	49	62	68	64	79	55	64	68	71	56	59	38	41	52	55	28	34	35	35	37	43	42	42	60	60	59	59	67	67	54	54	39	39	45	51	33	66	37	37	49	49	40	46	30	45	37	37	31	37
19R788	49	65	32	40	49	55	28	37	51	54	49	70	42	54	37	46	64	73	69	72	42	48	42	54	64	64	36	39	45	45	?	?	43	46	53	53	73	79	43	46	71	71	56	62	38	41	49	52	34	34	35	41	34	37	?	?	?	?	59	71	64	64	50	50	39	48	36	42	33	57	35	39	43	49	46	46	36	51	37	40	31	34
19R798	25	49	52	56	52	58	28	37	51	51	49	70	42	63	46	46	64	73	69	72	42	42	42	54	64	64	36	39	42	45	57	66	43	49	53	65	73	79	46	64	71	71	56	56	38	41	55	55	34	34	35	41	37	37	39	42	78	81	56	59	61	64	50	50	39	48	36	42	33	57	37	37	43	49	40	40	30	45	37	37	31	37
19R808	41	45	56	56	49	55	37	43	48	51	43	58	51	63	46	49	73	73	69	69	42	48	54	54	64	70	36	39	45	45	66	69	43	49	62	62	61	79	43	46	71	71	56	62	38	41	52	55	34	37	35	41	16	37	42	42	60	75	59	71	64	64	50	54	39	48	42	42	57	60	35	39	49	49	46	46	30	45	40	40	31	31
19R823	45	45	32	40	49	49	28	28	51	51	49	49	54	57	37	46	73	73	63	69	42	42	42	54	67	70	36	36	45	45	57	60	43	46	53	53	73	73	55	64	68	71	56	62	38	38	55	55	34	34	38	41	34	43	42	42	78	78	59	59	67	67	54	56	48	48	36	42	33	33	35	39	43	49	40	46	45	51	37	40	34	37
19R838	45	45	32	40	49	55	28	40	51	51	43	58	54	57	37	49	?	?	69	72	42	42	54	60	64	70	?	?	42	42	63	63	43	43	62	62	61	79	46	64	68	71	56	62	38	38	52	55	34	34	35	35	16	43	42	42	75	78	?	?	64	64	50	54	48	48	36	42	33	54	35	39	43	49	40	46	45	51	40	40	31	31
19R870	25	25	44	52	49	52	28	37	48	51	43	58	51	54	46	46	?	?	69	69	42	42	42	42	64	70	39	39	45	45	?	?	49	49	65	68	64	64	46	46	68	68	56	62	38	38	55	55	34	34	35	35	31	43	42	42	78	78	59	71	?	?	50	50	39	39	36	42	?	?	37	39	49	49	46	46	45	45	37	46	34	37
19R897	25	45	32	44	52	55	28	28	51	51	43	43	54	54	46	49	64	73	69	69	42	48	42	54	64	70	36	39	45	45	66	69	49	49	62	68	64	79	46	64	68	68	56	62	38	41	55	55	28	34	35	41	34	37	39	42	60	60	59	59	67	67	50	54	39	39	45	51	33	57	35	37	49	49	46	46	30	45	37	46	31	37
20R004	25	49	40	52	55	55	37	40	51	51	43	49	54	54	46	46	73	73	63	69	42	42	42	42	64	70	39	39	42	45	69	69	46	49	65	65	73	79	58	64	71	77	56	59	38	41	52	55	28	37	35	35	16	34	42	42	78	78	56	65	64	67	50	50	39	39	42	42	33	57	35	35	43	49	40	46	36	45	37	37	31	34
20R006	25	45	40	40	49	55	28	37	48	48	58	73	51	54	37	46	73	73	69	69	42	48	54	60	64	64	39	39	45	45	66	66	43	43	53	62	61	73	46	46	71	71	56	62	38	38	52	55	28	34	38	41	43	43	39	39	60	60	71	80	64	64	54	56	39	39	42	51	48	57	39	39	49	49	40	46	45	51	37	40	31	34
20R009	25	45	40	56	49	49	37	40	48	51	43	49	54	54	37	46	73	76	69	69	42	42	42	54	64	64	24	39	42	45	54	66	43	49	53	62	73	79	55	67	68	77	62	62	38	38	52	55	34	34	35	35	37	43	42	42	60	78	71	80	64	70	50	54	39	39	36	42	33	33	37	39	49	49	40	46	30	45	37	40	34	37
20R010	45	49	56	56	55	55	28	40	51	51	58	58	57	63	37	46	73	73	69	69	42	42	42	54	64	64	24	39	42	42	54	69	43	43	62	62	64	79	46	64	68	77	62	62	38	41	55	55	34	37	35	44	37	46	42	42	60	78	80	80	70	70	50	50	39	48	36	42	33	33	35	39	43	49	46	46	36	45	37	40	34	37
20R018	45	45	40	40	49	52	37	40	48	51	43	58	63	63	37	46	73	73	63	69	42	48	42	42	64	67	36	39	45	45	57	66	43	49	53	65	64	64	46	64	68	71	56	62	38	38	55	55	34	34	35	41	34	43	42	42	78	78	59	80	64	64	50	50	39	39	42	51	33	57	35	39	49	49	40	40	45	45	37	46	31	34
20R022	25	45	36	40	52	52	37	37	51	51	43	73	54	63	37	46	73	73	69	69	42	48	42	60	64	64	21	36	45	45	57	60	46	49	53	53	67	67	46	46	68	68	56	83	38	38	52	55	34	34	35	35	43	43	39	42	60	78	71	80	64	64	50	56	39	51	36	42	33	57	37	39	43	52	46	46	45	45	40	46	31	34
20R038	41	45	32	32	52	55	28	40	48	51	43	73	63	63	37	37	73	73	69	69	42	42	42	42	64	67	36	39	45	45	57	66	43	43	50	62	64	70	46	64	71	71	62	62	38	38	55	55	34	34	41	41	34	43	42	42	60	78	65	80	64	67	50	56	39	39	42	51	33	33	35	37	49	49	40	46	45	45	46	46	31	31
20R039	49	65	32	52	52	55	37	40	51	51	43	58	54	54	37	37	64	73	69	69	42	48	54	54	64	70	39	39	45	45	66	66	43	46	53	53	73	73	46	58	71	71	56	59	38	41	49	52	34	37	35	35	31	46	42	42	78	78	56	71	61	64	50	50	39	39	42	42	57	57	35	37	43	49	40	46	30	45	40	46	34	34
20R044	45	49	40	40	49	55	28	28	51	51	49	58	57	57	46	49	73	73	63	69	42	48	54	54	64	67	36	39	45	45	60	66	43	43	62	62	79	79	46	64	68	71	62	80	38	38	55	55	34	34	35	38	43	43	42	42	60	75	71	71	64	64	50	54	48	48	36	51	33	54	39	39	43	49	40	46	45	45	40	46	34	37
20R046	25	49	36	36	52	55	37	43	51	51	73	73	63	63	37	46	73	73	69	69	42	42	54	54	64	67	36	36	42	45	60	60	43	46	53	62	64	64	46	46	68	68	56	56	41	41	52	55	34	34	35	35	16	34	39	42	60	75	71	80	64	64	54	54	39	39	42	42	33	54	35	37	49	49	40	46	45	45	37	37	31	37
20R048	25	49	52	56	55	55	37	40	48	51	43	58	?	?	37	37	73	73	?	?	42	42	42	42	64	70	39	39	42	42	66	66	46	49	65	65	73	79	46	58	71	77	56	62	38	41	55	55	28	37	35	44	16	46	42	42	60	78	56	80	61	70	50	50	39	39	42	42	33	57	35	35	49	49	40	46	36	45	37	40	31	37
20R059	25	45	32	36	52	55	37	43	48	51	49	58	51	54	37	37	73	73	69	69	42	42	54	60	64	67	36	36	45	45	60	69	46	49	49	53	67	73	46	64	71	77	56	62	38	38	52	52	28	34	35	35	43	43	42	42	78	78	71	83	64	64	50	56	39	39	36	51	33	48	35	39	49	49	40	46	30	51	37	37	31	34
20R060	25	49	40	52	55	55	28	37	48	51	43	43	54	63	37	46	64	64	69	69	42	42	42	60	64	67	36	36	45	45	60	69	49	49	53	68	64	64	64	64	71	71	62	62	38	38	52	55	28	34	35	35	43	43	39	39	60	60	71	71	64	64	50	50	39	51	36	42	33	57	35	37	49	49	46	46	45	45	37	40	31	37
20R077	45	45	40	52	52	55	28	37	48	51	73	73	54	63	46	46	64	73	63	69	42	48	42	42	67	70	36	39	45	45	57	63	43	49	50	65	64	70	46	64	71	71	56	62	38	41	49	55	34	34	35	41	31	34	42	42	78	78	59	80	64	64	50	50	39	39	42	42	33	57	35	39	49	49	40	40	30	45	37	46	31	37
20R089	25	45	40	56	52	55	28	28	51	51	58	73	51	63	37	46	64	73	69	69	42	42	42	60	64	70	39	39	42	45	63	66	43	49	62	65	61	73	46	64	68	71	56	62	38	41	49	55	34	34	38	41	43	43	39	42	60	60	71	71	64	64	50	54	39	39	42	42	54	57	35	39	49	49	46	46	45	51	37	40	31	34
20R113	25	45	40	56	52	55	37	43	48	48	49	58	51	54	37	46	64	73	63	69	42	48	42	54	67	70	36	36	45	45	57	60	46	49	53	62	67	73	46	64	71	71	65	80	38	38	52	55	34	34	35	35	16	37	42	42	78	78	59	71	58	64	50	50	39	39	42	42	33	57	39	39	43	49	40	46	30	45	37	46	31	37
